"cn","Aou","BCR","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst"
"Spotted Towhee",5880,"17",2363379.22,2346248,0.254952084396152,1646414.2,3170962.5,1440590.125,3344609.375,2360000,2350000,1650000,3170000,1440000,3340000
"Spotted Towhee",5880,"34",2418133.75,2302272.5,0.351856031665142,1418573.3,3715019.5,976792.05,4133829.65,2420000,2300000,1420000,3720000,977000,4130000
"Spotted Towhee",5880,"35",702923.94,653178.5,0.492998082108711,246349.7,1144524.1,128198.625,1455753.9,703000,653000,246000,1140000,128000,1460000
"Spotted Towhee",5880,"6",5953.35,5112.5,1.03030216078652,0,14027.9,0,19971.775,5950,5110,0,14000,0,20000
"Lark Bunting",6050,"10",429448.71,394979,0.454731805488746,216637.6,701340.2,174860.175,913985.524999999,429000,395000,217000,701000,175000,914000
"Lark Bunting",6050,"16",20262.17,18206,0.576076893838281,6370.9,36674.5,3091.175,44153.575,20300,18200,6370,36700,3090,44200
"Lark Bunting",6050,"18",3558556.92,3431877.5,0.213706856716802,2727966.5,4656259.3,2426018.6,5282432.725,3560000,3430000,2730000,4660000,2430000,5280000
"Lark Bunting",6050,"19",258826.83,250021.5,0.364871788230585,150530.4,385382.9,114633.55,464441.6,259000,250000,151000,385000,115000,464000
"Lark Bunting",6050,"11",1323296.86,1256482.5,0.368081267961142,814390.5,1986257.6,599006.2,2376189.425,1320000,1260000,814000,1990000,599000,2380000
"Lark Bunting",6050,"17",5528127.27,5425381,0.22520509452932,4073872.7,7178504.3,3284216.725,8181204.39999999,5530000,5430000,4070000,7180000,3280000,8180000
"Purple Martin",6110,"5",46307.14,43943,0.346203504970021,28098.5,67921.5,23132.35,88812.925,46300,43900,28100,67900,23100,88800
"Purple Martin",6110,"32",10039.34,8748.5,0.531521903119454,4584.2,16787.9,3145.65,23198.325,10000,8750,4580,16800,3150,23200
"Purple Martin",6110,"9",1042.89,867.5,1.04364158298418,0,2147.7,0,3535.125,1040,868,0,2150,0,3540
"Purple Martin",6110,"16",39150.24,35485.5,0.448946034616111,20275.3,64368.5,15858.8,76800.675,39200,35500,20300,64400,15900,76800
"Purple Martin",6110,"30",207442.07,204426.5,0.229144620388192,145911.3,261980.8,125641.15,303006.6,207000,204000,146000,262000,126000,303000
"Purple Martin",6110,"24",672561.43,657396.5,0.178709802176637,551099.9,832757.7,472021.025,940846.75,673000,657000,551000,833000,472000,941000
"Purple Martin",6110,"27",1834104.49,1816312.5,0.128818656783238,1525582.2,2133884,1415751.65,2292523.7,1830000,1820000,1530000,2130000,1420000,2290000
"Purple Martin",6110,"28",356548.72,355321.5,0.198077515624587,265464.5,440800.1,242803.575,520670.325,357000,355000,265000,441000,243000,521000
"Purple Martin",6110,"29",553137.47,531993,0.460518342867423,247511.8,881737.600000001,224264.875,1075383.975,553000,532000,248000,882000,224000,1080000
"Purple Martin",6110,"31",85669.91,73725.5,0.486780823650381,39340.4,139967.1,33026.375,185549.775,85700,73700,39300,140000,33000,186000
"Purple Martin",6110,"22",652607.45,656312,0.147676053457952,538522.8,796868.3,475800.75,823368.075,653000,656000,539000,797000,476000,823000
"Purple Martin",6110,"23",104870.81,100666.5,0.254849810636289,73072.4,138958.9,60698.375,165172.65,105000,101000,73100,139000,60700,165000
"Purple Martin",6110,"19",122902.84,115902.5,0.334539804005025,84185.4,172063.7,57530.7,226036.675,123000,116000,84200,172000,57500,226000
"Purple Martin",6110,"11",377397.91,360682,0.300956514569701,244005.1,547262.3,212833.7,613700.925,377000,361000,244000,547000,213000,614000
"Purple Martin",6110,"6",72958.07,64799.5,0.474344548762476,35486.6,117033.4,24741.55,138773.175,73000,64800,35500,117000,24700,139000
"Purple Martin",6110,"25",543044.27,540164,0.259773497120776,365326,702644.3,308073.9,852261.45,543000,540000,365000,703000,308000,852000
"Purple Martin",6110,"26",453740.2,439981,0.239431616496345,328283.9,604296.7,284322.175,698475.275,454000,440000,328000,604000,284000,698000
"Purple Martin",6110,"37",430731.43,423785.5,0.276801855415419,282739.9,581147.3,246413.65,660961.875,431000,424000,283000,581000,246000,661000
"Purple Martin",6110,"12",15710.49,12689,0.844969988006744,2370.7,34583.2,921.125,47116.8749999999,15700,12700,2370,34600,921,47100
"Purple Martin",6110,"33",0,0,NA,0,0,0,0,0,0,0,0,0,0
"Purple Martin",6110,"34",130484.97,118967.5,0.478120630951847,68605,231786.9,44142.325,270698.15,130000,119000,68600,232000,44100,271000
"Purple Martin",6110,"35",18903.82,15632.5,0.82562932892526,3294.5,40349.6,1945.025,54173.9999999999,18900,15600,3290,40300,1950,54200
"Purple Martin",6110,"13",100083.74,98667,0.282478751499768,66159.7,135684.5,50326.7,156273.275,1e+05,98700,66200,136000,50300,156000
"Purple Martin",6110,"17",941.78,766,0.725691440811378,256.7,1806.4,43.7,2694.775,942,766,257,1810,43.7,2690
"Purple Martin",6110,"21",483881.87,466657,0.292343218366558,328532.6,680673.7,287109.75,775297.9,484000,467000,329000,681000,287000,775000
"Purple Martin",6110,"18",23099.9,18398,0.836385835994061,1574.9,47952.9,218.6,74203.6499999999,23100,18400,1570,48000,219,74200
"Purple Martin",6110,"20",100580.46,94386.5,0.335586143621039,63428.3,145928.6,50723.375,180496.85,101000,94400,63400,146000,50700,180000
"Purple Martin",6110,"36",139828.94,131779,0.4635542959886,65620.1,228248.1,52401.8,260073.25,140000,132000,65600,228000,52400,260000
"Loggerhead Shrike",6220,"32",103566.09,98132,0.340545536131983,62249,144160.7,49497.55,187149.275,104000,98100,62200,144000,49500,187000
"Loggerhead Shrike",6220,"33",410925.06,415712,0.176842240262621,316079.4,501084.8,270911.575,543293.825,411000,416000,316000,501000,271000,543000
"Loggerhead Shrike",6220,"5",604.17,393.5,1.1004807897216,0,1558.9,0,2138.9,604,394,0,1560,0,2140
"Loggerhead Shrike",6220,"9",808988.41,798068,0.197014601261425,633402.5,1022569.7,562757.7,1101456.675,809000,798000,633000,1020000,563000,1100000
"Loggerhead Shrike",6220,"10",131636.88,128384.5,0.253656572491995,89147.1,177977.9,73744.675,199219.05,132000,128000,89100,178000,73700,199000
"Loggerhead Shrike",6220,"16",361733.02,359373,0.177913632600713,283094.6,445503.2,253401.125,498630.95,362000,359000,283000,446000,253000,499000
"Loggerhead Shrike",6220,"18",385831.5,377272,0.142087243220188,322206,454910.8,306838.05,505695.225,386000,377000,322000,455000,307000,506000
"Loggerhead Shrike",6220,"27",217537,214818.5,0.138920503780837,180487.6,253296.1,165151.125,276502.25,218000,215000,180000,253000,165000,277000
"Loggerhead Shrike",6220,"28",6771.17,6498,0.417626997764232,3261.2,10910.5,1790.975,12575.075,6770,6500,3260,10900,1790,12600
"Loggerhead Shrike",6220,"31",101350.77,99523,0.29159823989154,65366,138045.5,57601.5,158420.575,101000,99500,65400,138000,57600,158000
"Loggerhead Shrike",6220,"29",13818.69,13505,0.343416053689316,8219.9,20377.8,6228.125,22993.9,13800,13500,8220,20400,6230,23000
"Loggerhead Shrike",6220,"22",86188.21,84270,0.21931964568594,65159.2,108728.7,52288.15,132288.55,86200,84300,65200,109000,52300,132000
"Loggerhead Shrike",6220,"24",12927.11,11869,0.32041721616259,8685,19242.8,7542.625,23137.975,12900,11900,8680,19200,7540,23100
"Loggerhead Shrike",6220,"19",138864.43,135567.5,0.214601916124089,100986.6,181671.6,92118.525,193847.775,139000,136000,101000,182000,92100,194000
"Loggerhead Shrike",6220,"11",246169.02,240811.5,0.175667335466921,194215.4,302902.7,174774.1,335429.175,246000,241000,194000,303000,175000,335000
"Loggerhead Shrike",6220,"25",15017.02,14666,0.489253817466851,7797.4,23334.5,6052.8,37314.3,15000,14700,7800,23300,6050,37300
"Loggerhead Shrike",6220,"26",122815.74,119702,0.21350196727848,93110.9,157375.4,80428,175717.45,123000,120000,93100,157000,80400,176000
"Loggerhead Shrike",6220,"37",156443.42,155152,0.220564470213903,116153.6,197149.2,97994.225,223370.575,156000,155000,116000,197000,98000,223000
"Loggerhead Shrike",6220,"17",429307.33,416609,0.234395428585351,313665.2,551845.3,283462.3,656197.05,429000,417000,314000,552000,283000,656000
"Loggerhead Shrike",6220,"34",77462.74,75271.5,0.308443275871244,51085,104802.2,38301.225,135713.475,77500,75300,51100,105000,38300,136000
"Loggerhead Shrike",6220,"35",455318.73,439793.5,0.218648096781785,343775.9,577557.1,300319.15,669563.6,455000,440000,344000,578000,3e+05,670000
"Loggerhead Shrike",6220,"21",79957.71,78805.5,0.287601267628617,53902.7,107800.6,42992.85,140366.525,80000,78800,53900,108000,43000,140000
"Loggerhead Shrike",6220,"20",2779.81,2297,0.807253316713131,609.6,5738.6,131.1,7846.95,2780,2300,610,5740,131,7850
"Loggerhead Shrike",6220,"36",40202.68,36205,0.459050630836885,20971.1,70635.4,14344.5,87770.275,40200,36200,21000,70600,14300,87800
"Loggerhead Shrike",6220,"23",0,0,NA,0,0,0,0,0,0,0,0,0,0
"Philadelphia Vireo",6260,"10",6510.44,5364,1.05528668697142,0,14423.4,0,24513.275,6510,5360,0,14400,0,24500
"Philadelphia Vireo",6260,"6",729310.74,709972,0.209580408532257,547250.8,945086.6,490342,1091958.3,729000,710000,547000,945000,490000,1090000
"Philadelphia Vireo",6260,"11",8091.46,7574.5,0.685965273878169,2090.2,15113.5,1454.2,20533.6,8090,7570,2090,15100,1450,20500
"Philadelphia Vireo",6260,"14",220927.08,219720.5,0.173932958421926,170590.9,267391.3,150938.175,289403.65,221000,220000,171000,267000,151000,289000
"Philadelphia Vireo",6260,"12",819264.65,806447.5,0.198375424366414,628786.1,1022143.3,586269.275,1188562.5,819000,806000,629000,1020000,586000,1190000
"Philadelphia Vireo",6260,"8",2428822.67,2356970,0.173932555003911,1956121.3,3049089.8,1825530.45,3280822.7,2430000,2360000,1960000,3050000,1830000,3280000
"Philadelphia Vireo",6260,"7",456872.1,436709.5,0.323112042533164,271998.3,678492.2,210514.125,766065.475,457000,437000,272000,678000,211000,766000
"Philadelphia Vireo",6260,"13",10065.19,9951,0.596657462763943,2789.2,16805.3,2023,25510.45,10100,9950,2790,16800,2020,25500
"Brown Thrasher",7050,"18",67062.63,65143,0.267800951565709,46652.8,89501,38821.6,106808.125,67100,65100,46700,89500,38800,107000
"Brown Thrasher",7050,"30",34389.44,34354.5,0.200837722248067,25487.6,43144.3,21655.075,46950.275,34400,34400,25500,43100,21700,47000
"Brown Thrasher",7050,"24",416622.2,419503.5,0.134404709220051,346723.7,486044,324040.45,548644.05,417000,420000,347000,486000,324000,549000
"Brown Thrasher",7050,"27",1073643.82,1053646.5,0.119413225443486,915134.2,1260768,866329.55,1324055.675,1070000,1050000,915000,1260000,866000,1320000
"Brown Thrasher",7050,"28",527609.85,519847.5,0.108625640422058,451398.9,604524.4,426255.025,641945.825,528000,520000,451000,605000,426000,642000
"Brown Thrasher",7050,"29",378028.7,370220.5,0.144717761646056,308435.6,452911.6,290866.2,499395.75,378000,370000,308000,453000,291000,499000
"Brown Thrasher",7050,"31",42615.79,39177,0.3747309860254,26220.7,63019.1,21413.175,77433.15,42600,39200,26200,63000,21400,77400
"Brown Thrasher",7050,"22",856954.46,856030.5,0.132839136015433,727338.8,1004040.6,681889,1100855.225,857000,856000,727000,1e+06,682000,1100000
"Brown Thrasher",7050,"23",189988.81,187047,0.159787411719207,153827.3,231312.7,141802.425,253809.425,190000,187000,154000,231000,142000,254000
"Brown Thrasher",7050,"11",532289.45,522536.5,0.123403597616363,454849.8,622478.2,419072.4,669112.725,532000,523000,455000,622000,419000,669000
"Brown Thrasher",7050,"19",693459.98,655386,0.231178067571257,504994.7,918635.2,468103.8,1042252.2,693000,655000,505000,919000,468000,1040000
"Brown Thrasher",7050,"25",134057.52,130417.5,0.208499412414668,98259,167123.3,84087.225,198134.575,134000,130000,98300,167000,84100,198000
"Brown Thrasher",7050,"26",90494.92,89064.5,0.207487664160087,66771.4,115846.2,58276.05,128457.6,90500,89100,66800,116000,58300,128000
"Brown Thrasher",7050,"37",9347.43,8729,0.427138497948134,5152.5,14218.6,4214.925,20317.2,9350,8730,5150,14200,4210,20300
"Brown Thrasher",7050,"14",22892.94,22587,0.242195752123164,16859.6,29835.1,15471.4,32118.425,22900,22600,16900,29800,15500,32100
"Brown Thrasher",7050,"12",199258.18,193090,0.193057599721448,153692.9,261535.6,144659.125,271232.2,199000,193000,154000,262000,145000,271000
"Brown Thrasher",7050,"6",13036.8,11866,0.568202664428156,5188.8,21994.3,3422.875,28445.85,13000,11900,5190,22000,3420,28400
"Brown Thrasher",7050,"10",3213.44,2744,0.872627588346208,460.9,6331.5,208.6,10681.05,3210,2740,461,6330,209,10700
"Brown Thrasher",7050,"17",163790.17,158465,0.214668153360268,124525.1,202078.5,108122.925,252787.2,164000,158000,125000,202000,108000,253000
"Brown Thrasher",7050,"13",151135.05,148656,0.192977739110818,117707.8,189351.3,103702.55,211966.8,151000,149000,118000,189000,104000,212000
"Brown Thrasher",7050,"21",18282.98,17669.5,0.354817721982867,10928.4,25718.7,7053.575,32679.4,18300,17700,10900,25700,7050,32700
"Brown Thrasher",7050,"8",1368.26,1288.5,0.637957534521064,292.2,2519.6,0,3447.15,1370,1290,292,2520,0,3450
"Sedge Wren",7240,"22",100870.12,96918.5,0.352156274951177,63721.2,147655.3,40854.175,185817.375,101000,96900,63700,148000,40900,186000
"Sedge Wren",7240,"23",576296.59,561164,0.19014539286806,448844.4,714242.6,410101.275,799497.35,576000,561000,449000,714000,410000,799000
"Sedge Wren",7240,"11",2417688.71,2411446,0.154029976792111,1987241.1,2933795.2,1820954.6,3133588.5,2420000,2410000,1990000,2930000,1820000,3130000
"Sedge Wren",7240,"6",1016512.24,981457,0.258550303355765,724284.5,1344944.4,607039.45,1583000.5,1020000,981000,724000,1340000,607000,1580000
"Sedge Wren",7240,"12",1077385.39,1071044,0.217780855387239,815508.3,1361027.2,715884.85,1503039.5,1080000,1070000,816000,1360000,716000,1500000
"Sedge Wren",7240,"8",46923.09,41992,0.477677736944937,24181.5,74545.5,15002.05,102122.75,46900,42000,24200,74500,15000,102000
"Sedge Wren",7240,"19",20934.6,18300.5,0.77675238361588,3394.6,42217.2,1614.875,67452.6249999999,20900,18300,3390,42200,1610,67500
"Sedge Wren",7240,"17",37351.62,35851,0.510616069136384,14774.1,63339.4,9379.95,75637.025,37400,35900,14800,63300,9380,75600
"Sedge Wren",7240,"13",1719.97,1515.5,0.624051896581988,528.2,3169.8,0,4343.95,1720,1520,528,3170,0,4340
"Eurasian Collared-Dove",22860,"10",465716.1,445178,0.284632621689576,323659.9,626276.4,254119.275,761952.5,466000,445000,324000,626000,254000,762000
"Eurasian Collared-Dove",22860,"5",1014953.93,992504,0.194118053933728,769903.4,1237440.9,697021.575,1477268.85,1010000,993000,770000,1240000,697000,1480000
"Eurasian Collared-Dove",22860,"6",6420.96,5905.5,0.632505018385261,1888.4,12350.9,313.025,14230.85,6420,5910,1890,12400,313,14200
"Eurasian Collared-Dove",22860,"9",1963484.11,1907410,0.260460424821121,1369618.8,2623121.1,1230721.625,3092677.65,1960000,1910000,1370000,2620000,1230000,3090000
"Eurasian Collared-Dove",22860,"15",25082.54,23139,0.443539575957635,14234.3,37769.4,11064.55,55950.5249999999,25100,23100,14200,37800,11100,56000
"Eurasian Collared-Dove",22860,"32",1034522.59,1000994,0.29557022985912,652588.6,1474254.6,569087.075,1596229.8,1030000,1e+06,653000,1470000,569000,1600000
"Eurasian Collared-Dove",22860,"33",992999.33,964099,0.340411694685397,567395.3,1455552.4,427684.55,1664800.325,993000,964000,567000,1460000,428000,1660000
"Eurasian Collared-Dove",22860,"16",679967.45,660729.5,0.278112361700506,444471.3,920259.7,368337.6,1062647.85,680000,661000,444000,920000,368000,1060000
"Eurasian Collared-Dove",22860,"18",2012136.49,1946534,0.184918208192882,1582224.8,2592986.7,1421365.85,2794160.775,2010000,1950000,1580000,2590000,1420000,2790000
"Eurasian Collared-Dove",22860,"24",119579.31,116259,0.290735476374876,79457.9,167241.2,72387.575,197896.025,120000,116000,79500,167000,72400,198000
