"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability....ifelse.use_availability..TRUE..FALSE.","edr....ifelse.use_edr..TRUE..FALSE."
"Zone-tailed Hawk",3400,150990.460526316,144185.855263158,98100.3289473684,216363.486842105,68354.8519736842,282875,150990.460526316,144185.855263158,98100.3289473684,216363.486842105,68354.8519736842,282875,9180.22,8766.5,5964.5,13154.9,4155.975,17198.8,151000,144000,98100,216000,68400,283000,151000,144000,98100,216000,68400,283000,9180,8770,5960,13200,4160,17200,4,4,4,4,4,FALSE,FALSE
"Swainson's Hawk",3420,1032051.81070398,1037184.59566286,949723.854289072,1116518.9616494,900930.215788911,1160356.87960688,1032051.81070398,1037184.59566286,949723.854289072,1116518.9616494,900930.215788911,1160356.87960688,966103.7,970908.5,889036.5,1045173.4,843360.775,1086210.075,1030000,1040000,950000,1120000,901000,1160000,1030000,1040000,950000,1120000,901000,1160000,966000,971000,889000,1050000,843000,1090000,3,3,3,3,3,FALSE,FALSE
"Broad-winged Hawk",3430,2028254.45970884,2022635.32909576,1877995.18146401,2173440.84478163,1826779.3725651,2249181.00266557,2028254.45970884,2022635.32909576,1877995.18146401,2173440.84478163,1826779.3725651,2249181.00266557,1978359.4,1972878.5,1831796.5,2119974.2,1781840.6,2193851.15,2030000,2020000,1880000,2170000,1830000,2250000,2030000,2020000,1880000,2170000,1830000,2250000,1980000,1970000,1830000,2120000,1780000,2190000,3,3,3,3,3,FALSE,FALSE
"Common Black Hawk",3450,10101.867816092,7155.1724137931,0,22968.3908045977,0,38536.2787356322,10101.867816092,7155.1724137931,0,22968.3908045977,0,38536.2787356322,703.09,498,0,1598.6,0,2682.125,10100,7160,0,23000,0,38500,10100,7160,0,23000,0,38500,703,498,0,1600,0,2680,5,5,5,5,5,FALSE,FALSE
"Rough-legged Hawk",3470,109253.26,94836,42173.8,183766.8,33817.3,262147.2,54626.63,47418,21086.9,91883.4,16908.65,131073.6,54626.63,47418,21086.9,91883.4,16908.65,131073.6,109000,94800,42200,184000,33800,262000,54600,47400,21100,91900,16900,131000,54600,47400,21100,91900,16900,131000,4,5,4,5,4,FALSE,FALSE
"Ferruginous Hawk",3480,114368.72,114305.5,98232.7,130967.7,89691.4,142643.425,114368.72,114305.5,98232.7,130967.7,89691.4,142643.425,114368.72,114305.5,98232.7,130967.7,89691.4,142643.425,114000,114000,98200,131000,89700,143000,114000,114000,98200,131000,89700,143000,114000,114000,98200,131000,89700,143000,4,4,4,4,4,FALSE,FALSE
"Golden Eagle",3490,206670.404721754,204021.922428331,179438.870151771,238034.780775717,171049.272765599,253065.451096121,103346.094655845,102021.713924317,89728.8921682302,119029.935701486,85533.6513123221,126546.063033625,98044.44,96788,85125.8,112923.7,81145.775,120054.25,207000,204000,179000,238000,171000,253000,103000,102000,89700,119000,85500,127000,98000,96800,85100,113000,81100,120000,4,4,4,4,4,FALSE,FALSE
"Bald Eagle",3520,1010561.59615962,1012577.75777578,803947.494749475,1216467.14671467,709656.565656566,1322948.61986199,1010561.59615962,1012577.75777578,803947.494749475,1216467.14671467,709656.565656566,1322948.61986199,1010460.54,1012476.5,803867.1,1216345.5,709585.6,1322816.325,1010000,1010000,804000,1220000,710000,1320000,1010000,1010000,804000,1220000,710000,1320000,1010000,1010000,804000,1220000,710000,1320000,3,3,3,3,3,FALSE,FALSE
"Gyrfalcon",3540,7214.82,6770,534.6,15085.2,0,18365.9,3607.41,3385,267.3,7542.6,0,9182.94999999999,3607.41,3385,267.3,7542.6,0,9182.94999999999,7210,6770,535,15100,0,18400,3610,3380,267,7540,0,9180,3610,3380,267,7540,0,9180,5,5,5,5,5,FALSE,FALSE
"Prairie Falcon",3550,110697.269029634,112070.307960488,94377.4549680418,126350.145264381,87945.9616502034,129244.450900639,110697.269029634,112070.307960488,94377.4549680418,126350.145264381,87945.9616502034,129244.450900639,95255,96436.5,81211.8,108724.3,75677.5,111214.85,111000,112000,94400,126000,87900,129000,111000,112000,94400,126000,87900,129000,95300,96400,81200,109000,75700,111000,4,4,4,4,4,FALSE,FALSE
