"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability....ifelse.use_availability..TRUE..FALSE.","edr....ifelse.use_edr..TRUE..FALSE."
"Red-winged Blackbird",4980,175618394.414317,175130516.81128,163213225.16269,188866837.201735,158730202.521692,196294065.130152,175618394.414317,175130516.81128,163213225.16269,188866837.201735,158730202.521692,196294065.130152,161920159.65,161470336.5,150482593.6,174135223.9,146349246.725,180983128.05,1.76e+08,1.75e+08,1.63e+08,1.89e+08,1.59e+08,1.96e+08,1.76e+08,1.75e+08,1.63e+08,1.89e+08,1.59e+08,1.96e+08,1.62e+08,1.61e+08,1.5e+08,1.74e+08,1.46e+08,1.81e+08,1,1,1,1,1,FALSE,FALSE
"Tricolored Blackbird",5000,445619.740677455,396245.853854659,225254.598452106,711182.229369786,160904.286863001,907343.627500251,445619.740677455,396245.853854659,225254.598452106,711182.229369786,160904.286863001,907343.627500251,443347.08,394225,224105.8,707555.2,160083.675,902716.174999999,446000,396000,225000,711000,161000,907000,446000,396000,225000,711000,161000,907000,443000,394000,224000,708000,160000,903000,4,4,3,4,3,FALSE,FALSE
"Eastern Meadowlark",5010,32487915.0153846,32121241.5384615,29578759.0769231,35465354.4615385,28673975.8846154,36705369.5,32487915.0153846,32121241.5384615,29578759.0769231,35465354.4615385,28673975.8846154,36705369.5,21117144.76,20878807,19226193.4,23052480.4,18638084.325,23858490.175,32500000,32100000,29600000,35500000,28700000,36700000,32500000,32100000,29600000,35500000,28700000,36700000,21100000,20900000,19200000,23100000,18600000,23900000,2,2,2,2,2,FALSE,FALSE
"Western Meadowlark",5011,98480189.2269381,97984313.0142919,91065635.7730619,106628438.284972,85615484.7607189,112524752.571459,98480189.2269381,97984313.0142919,91065635.7730619,106628438.284972,85615484.7607189,112524752.571459,90956302.77,90498311.5,84108221.2,98482025.6,79074461.725,103927861.475,98500000,9.8e+07,91100000,1.07e+08,85600000,1.13e+08,98500000,9.8e+07,91100000,1.07e+08,85600000,1.13e+08,9.1e+07,90500000,84100000,98500000,79100000,1.04e+08,1,1,1,1,1,FALSE,FALSE
"Audubon's Oriole",5030,5901291.25,5810250,3706891.66666667,8130320.83333333,2742035.41666667,9575536.45833333,5901291.25,5810250,3706891.66666667,8130320.83333333,2742035.41666667,9575536.45833333,141630.99,139446,88965.4,195127.7,65808.85,229812.875,5900000,5810000,3710000,8130000,2740000,9580000,5900000,5810000,3710000,8130000,2740000,9580000,142000,139000,89000,195000,65800,230000,2,3,2,3,2,FALSE,FALSE
"Scott's Oriole",5040,3474279.95169082,3482498.79227053,2965435.02415459,3982102.65700483,2746694.92753623,4052081.76328502,3474279.95169082,3482498.79227053,2965435.02415459,3982102.65700483,2746694.92753623,4052081.76328502,1438351.9,1441754.5,1227690.1,1648590.5,1137131.7,1677561.85,3470000,3480000,2970000,3980000,2750000,4050000,3470000,3480000,2970000,3980000,2750000,4050000,1440000,1440000,1230000,1650000,1140000,1680000,3,3,3,3,3,FALSE,FALSE
"Hooded Oriole",5050,819602.028872415,798217.908700741,673907.530238002,973867.538041358,575262.53413968,1093767.41123683,819602.028872415,798217.908700741,673907.530238002,973867.538041358,575262.53413968,1093767.41123683,420128,409166.5,345445,499204.5,294879.575,560665.175,820000,798000,674000,974000,575000,1090000,820000,798000,674000,974000,575000,1090000,420000,409000,345000,499000,295000,561000,3,3,3,3,3,FALSE,FALSE
"Orchard Oriole",5060,11283380.1355932,11338002.259887,10624281.1299435,11932538.1920904,10216745.7062147,12196924.8305085,11283380.1355932,11338002.259887,10624281.1299435,11932538.1920904,10216745.7062147,12196924.8305085,9985791.42,10034132,9402488.8,10560296.3,9041819.95,10794278.475,11300000,11300000,10600000,11900000,10200000,12200000,11300000,11300000,10600000,11900000,10200000,12200000,9990000,1e+07,9400000,10600000,9040000,10800000,2,2,2,2,2,FALSE,FALSE
"Baltimore Oriole",5070,10898412.62,10813764.5,10316514.3,11597369.4,9918868.3,12139924.9,10898412.62,10813764.5,10316514.3,11597369.4,9918868.3,12139924.9,10898412.62,10813764.5,10316514.3,11597369.4,9918868.3,12139924.9,10900000,10800000,10300000,11600000,9920000,12100000,10900000,10800000,10300000,11600000,9920000,12100000,10900000,10800000,10300000,11600000,9920000,12100000,2,2,2,2,2,FALSE,FALSE
"Bullock's Oriole",5080,7207116.49671425,7200654.88329934,6744207.22864265,7760295.26399275,6391061.49444822,8121920.00906413,7207116.49671425,7200654.88329934,6744207.22864265,7760295.26399275,6391061.49444822,8121920.00906413,6361001.02,6355298,5952437.3,6849236.6,5640750.875,7168406.6,7210000,7200000,6740000,7760000,6390000,8120000,7210000,7200000,6740000,7760000,6390000,8120000,6360000,6360000,5950000,6850000,5640000,7170000,2,2,2,2,2,FALSE,FALSE
"Rusty Blackbird",5090,4239419.83,4186581.5,3188285.8,5306752.4,2770129.85,6166385.575,4239419.83,4186581.5,3188285.8,5306752.4,2770129.85,6166385.575,4239419.83,4186581.5,3188285.8,5306752.4,2770129.85,6166385.575,4240000,4190000,3190000,5310000,2770000,6170000,4240000,4190000,3190000,5310000,2770000,6170000,4240000,4190000,3190000,5310000,2770000,6170000,3,3,2,3,2,FALSE,FALSE
"Brewer's Blackbird",5100,21061164.3655027,21052078.5951494,19375949.2804669,22767782.5299386,18738879.7675355,24840924.1722854,21061164.3655027,21052078.5951494,19375949.2804669,22767782.5299386,18738879.7675355,24840924.1722854,20928479.03,20919450.5,19253880.8,22624345.5,18620824.825,24684426.35,21100000,21100000,19400000,22800000,18700000,24800000,21100000,21100000,19400000,22800000,18700000,24800000,20900000,20900000,19300000,22600000,18600000,24700000,2,2,2,2,2,FALSE,FALSE
"Common Grackle",5110,56955063.65,56759218,53222359.4,61080488,51844815.775,62909979.05,56955063.65,56759218,53222359.4,61080488,51844815.775,62909979.05,56955063.65,56759218,53222359.4,61080488,51844815.775,62909979.05,5.7e+07,56800000,53200000,61100000,51800000,62900000,5.7e+07,56800000,53200000,61100000,51800000,62900000,5.7e+07,56800000,53200000,61100000,51800000,62900000,1,1,1,1,1,FALSE,FALSE
"Great-tailed Grackle",5120,10737452.4711229,10665416.5877675,8796656.31509184,12839551.6000757,8374148.45673168,13990400.9183867,10737452.4711229,10665416.5877675,8796656.31509184,12839551.6000757,8374148.45673168,13990400.9183867,5670448.65,5632406.5,4645514.2,6780567.2,4422387.8,7388330.725,10700000,10700000,8800000,12800000,8370000,1.4e+07,10700000,10700000,8800000,12800000,8370000,1.4e+07,5670000,5630000,4650000,6780000,4420000,7390000,2,2,2,2,2,FALSE,FALSE
"Boat-tailed Grackle",5130,1367243.4,1357694.5,1002013.4,1789460.6,881104.8,1995403.55,1367243.4,1357694.5,1002013.4,1789460.6,881104.8,1995403.55,1367243.4,1357694.5,1002013.4,1789460.6,881104.8,1995403.55,1370000,1360000,1e+06,1790000,881000,2e+06,1370000,1360000,1e+06,1790000,881000,2e+06,1370000,1360000,1e+06,1790000,881000,2e+06,3,3,3,3,3,FALSE,FALSE
"Evening Grosbeak",5140,3157677.10132715,3120102.16979145,2707370.02317253,3636912.99768275,2558427.53317885,3843983.04192121,3157677.10132715,3120102.16979145,2707370.02317253,3636912.99768275,2558427.53317885,3843983.04192121,2997898.64,2962225,2570377.1,3452885.2,2428971.1,3649477.5,3160000,3120000,2710000,3640000,2560000,3840000,3160000,3120000,2710000,3640000,2560000,3840000,3e+06,2960000,2570000,3450000,2430000,3650000,3,3,3,3,3,FALSE,FALSE
"Pine Grosbeak",5150,8381548.92,8258280,7006422.8,9955407.6,5827555.05,10647881.15,4190774.46,4129140,3503211.4,4977703.8,2913777.525,5323940.575,4190774.46,4129140,3503211.4,4977703.8,2913777.525,5323940.575,8380000,8260000,7010000,9960000,5830000,10600000,4190000,4130000,3500000,4980000,2910000,5320000,4190000,4130000,3500000,4980000,2910000,5320000,2,2,2,2,2,FALSE,FALSE
"Purple Finch",5170,6383357.5,6386708,5915848.9,6810253.1,5642028.325,7127934.675,6383357.5,6386708,5915848.9,6810253.1,5642028.325,7127934.675,6383357.5,6386708,5915848.9,6810253.1,5642028.325,7127934.675,6380000,6390000,5920000,6810000,5640000,7130000,6380000,6390000,5920000,6810000,5640000,7130000,6380000,6390000,5920000,6810000,5640000,7130000,2,2,2,2,2,FALSE,FALSE
"Cassin's Finch",5180,3531969.51085326,3492493.24797439,3081541.56246874,3987505.05151545,2922390.51715515,4214437.05611683,3531969.51085326,3492493.24797439,3081541.56246874,3987505.05151545,2922390.51715515,4214437.05611683,3530909.92,3491445.5,3080617.1,3986308.8,2921513.8,4213172.725,3530000,3490000,3080000,3990000,2920000,4210000,3530000,3490000,3080000,3990000,2920000,4210000,3530000,3490000,3080000,3990000,2920000,4210000,3,3,3,3,3,FALSE,FALSE
"House Finch",5190,42905272.402885,42699095.2802733,39945866.8859927,46239113.3746678,39288567.0947741,48237953.6884727,42905272.402885,42699095.2802733,39945866.8859927,46239113.3746678,39288567.0947741,48237953.6884727,33908036.78,33745095,31569218.6,36542771.3,31049754.575,38122454.8,42900000,42700000,39900000,46200000,39300000,48200000,42900000,42700000,39900000,46200000,39300000,48200000,33900000,33700000,31600000,36500000,3.1e+07,38100000,2,2,2,2,2,FALSE,FALSE
"Red Crossbill",5210,22635992.6510615,22477936.8535656,19921578.1164943,25588922.9722373,19015123.1627654,26498563.8949374,9053411.3868931,8990195.95035924,7967763.7709558,10234454.9314174,7605221.26061398,10598271.6906162,8316463.7,8258394,7319187.8,9401370.3,6986156.25,9735572.375,22600000,22500000,19900000,25600000,1.9e+07,26500000,9050000,8990000,7970000,10200000,7610000,10600000,8320000,8260000,7320000,9400000,6990000,9740000,2,2,2,2,2,FALSE,FALSE
"White-winged Crossbill",5220,77130284.6,76102363,66082250,89013658.6,60794408.6,96077451.9,38565142.3,38051181.5,33041125,44506829.3,30397204.3,48038725.95,38565142.3,38051181.5,33041125,44506829.3,30397204.3,48038725.95,77100000,76100000,66100000,8.9e+07,60800000,96100000,38600000,38100000,3.3e+07,44500000,30400000,4.8e+07,38600000,38100000,3.3e+07,44500000,30400000,4.8e+07,1,1,1,1,1,FALSE,FALSE
"Hoary Redpoll",5270,385098.34,357861,83598.8,667130.6,53469.45,918581.449999999,192549.17,178930.5,41799.4,333565.3,26734.725,459290.725,192549.17,178930.5,41799.4,333565.3,26734.725,459290.725,385000,358000,83600,667000,53500,919000,193000,179000,41800,334000,26700,459000,193000,179000,41800,334000,26700,459000,4,4,3,4,3,FALSE,FALSE
"Common Redpoll",5280,103530010.333333,98550105,79895087.6666667,135112851.666667,69875670.4166667,145060512.833333,31059003.1,29565031.5,23968526.3,40533855.5,20962701.125,43518153.85,31059003.1,29565031.5,23968526.3,40533855.5,20962701.125,43518153.85,1.04e+08,98600000,79900000,1.35e+08,69900000,1.45e+08,31100000,29600000,2.4e+07,40500000,2.1e+07,43500000,31100000,29600000,2.4e+07,40500000,2.1e+07,43500000,1,1,1,1,1,FALSE,FALSE
"American Goldfinch",5290,40841405.71,40662860.5,39271241.7,42477196.3,38416971.175,43423154.525,40841405.71,40662860.5,39271241.7,42477196.3,38416971.175,43423154.525,40841405.71,40662860.5,39271241.7,42477196.3,38416971.175,43423154.525,40800000,40700000,39300000,42500000,38400000,43400000,40800000,40700000,39300000,42500000,38400000,43400000,40800000,40700000,39300000,42500000,38400000,43400000,2,2,2,2,2,FALSE,FALSE
"Lesser Goldfinch",5300,10568296.6641679,10452752.0614693,9091338.45577211,12167032.6086957,8703721.37368816,13035393.5063718,10568296.6641679,10452752.0614693,9091338.45577211,12167032.6086957,8703721.37368816,13035393.5063718,5639243.1,5577588.5,4851138.2,6492328.6,4644305.725,6955685.975,10600000,10500000,9090000,12200000,8700000,1.3e+07,10600000,10500000,9090000,12200000,8700000,1.3e+07,5640000,5580000,4850000,6490000,4640000,6960000,2,2,2,2,2,FALSE,FALSE
"Lawrence's Goldfinch",5310,403591.062191748,389568.747744497,258124.98496331,580047.636232407,231680.981595092,645902.71261879,403591.062191748,389568.747744497,258124.98496331,580047.636232407,231680.981595092,645902.71261879,335505.25,323848.5,214579.3,482193.6,192596.4,536938.925,404000,390000,258000,580000,232000,646000,404000,390000,258000,580000,232000,646000,336000,324000,215000,482000,193000,537000,4,4,3,4,3,FALSE,FALSE
"Pine Siskin",5330,51312666.0351251,50872799.3613624,45804181.9052688,57843871.9531666,42831447.9510378,61045993.7466738,51312666.0351251,50872799.3613624,45804181.9052688,57843871.9531666,42831447.9510378,61045993.7466738,48208249.74,47794995,43033028.9,54344317.7,40240145.35,57352711.125,51300000,50900000,45800000,57800000,42800000,6.1e+07,51300000,50900000,45800000,57800000,42800000,6.1e+07,48200000,47800000,4.3e+07,54300000,40200000,57400000,1,2,1,2,1,FALSE,FALSE
"Snow Bunting",5340,4949924.18,4009063,390967.6,11791019,0,18610038.05,2474962.09,2004531.5,195483.8,5895509.5,0,9305019.02499999,2474962.09,2004531.5,195483.8,5895509.5,0,9305019.02499999,4950000,4010000,391000,11800000,0,18600000,2470000,2e+06,195000,5900000,0,9310000,2470000,2e+06,195000,5900000,0,9310000,3,4,2,5,2,FALSE,FALSE
"Lapland Longspur",5360,335229138.48,315119717,189242335.4,514057492.2,149367648.5,583908075.75,167614569.24,157559858.5,94621167.7,257028746.1,74683824.25,291954037.875,167614569.24,157559858.5,94621167.7,257028746.1,74683824.25,291954037.875,3.35e+08,3.15e+08,1.89e+08,5.14e+08,1.49e+08,5.84e+08,1.68e+08,1.58e+08,94600000,2.57e+08,74700000,2.92e+08,1.68e+08,1.58e+08,94600000,2.57e+08,74700000,2.92e+08,1,1,1,1,1,FALSE,FALSE
"Smith's Longspur",5370,351975.39,294735,3400.9,790883.9,0,1107606.35,351975.39,294735,3400.9,790883.9,0,1107606.35,351975.39,294735,3400.9,790883.9,0,1107606.35,352000,295000,3400,791000,0,1110000,352000,295000,3400,791000,0,1110000,352000,295000,3400,791000,0,1110000,4,5,3,5,3,FALSE,FALSE
"Chestnut-collared Longspur",5380,3155573.04,3121809,2551924.4,3781638.1,2289316.675,4166628.95,3155573.04,3121809,2551924.4,3781638.1,2289316.675,4166628.95,3155573.04,3121809,2551924.4,3781638.1,2289316.675,4166628.95,3160000,3120000,2550000,3780000,2290000,4170000,3160000,3120000,2550000,3780000,2290000,4170000,3160000,3120000,2550000,3780000,2290000,4170000,3,3,3,3,3,FALSE,FALSE
"Thick-billed Longspur",5390,1159498.69,1108241.5,711797.3,1617463.6,608601.9,2055192.775,1159498.69,1108241.5,711797.3,1617463.6,608601.9,2055192.775,1159498.69,1108241.5,711797.3,1617463.6,608601.9,2055192.775,1160000,1110000,712000,1620000,609000,2060000,1160000,1110000,712000,1620000,609000,2060000,1160000,1110000,712000,1620000,609000,2060000,3,3,3,3,3,FALSE,FALSE
"Vesper Sparrow",5400,33478925.07,33607898.5,30850217.3,35959446,30404649.675,38102385.525,33478925.07,33607898.5,30850217.3,35959446,30404649.675,38102385.525,33478925.07,33607898.5,30850217.3,35959446,30404649.675,38102385.525,33500000,33600000,30900000,3.6e+07,30400000,38100000,33500000,33600000,30900000,3.6e+07,30400000,38100000,33500000,33600000,30900000,3.6e+07,30400000,38100000,2,2,2,2,2,FALSE,FALSE
"Savannah Sparrow",5420,206371907.20033,206057527.85228,163230763.152465,246781251.186301,150179715.545698,268418431.349288,206371907.20033,206057527.85228,163230763.152465,246781251.186301,150179715.545698,268418431.349288,200056926.84,199752167.5,158235901.8,239229744.9,145584216.25,260204827.35,2.06e+08,2.06e+08,1.63e+08,2.47e+08,1.5e+08,2.68e+08,2.06e+08,2.06e+08,1.63e+08,2.47e+08,1.5e+08,2.68e+08,2e+08,2e+08,1.58e+08,2.39e+08,1.46e+08,2.6e+08,1,1,1,1,1,FALSE,FALSE
"Baird's Sparrow",5450,3008733.06,2992657,2461639.4,3638638.4,2270783.075,3927458.05,3008733.06,2992657,2461639.4,3638638.4,2270783.075,3927458.05,3008733.06,2992657,2461639.4,3638638.4,2270783.075,3927458.05,3010000,2990000,2460000,3640000,2270000,3930000,3010000,2990000,2460000,3640000,2270000,3930000,3010000,2990000,2460000,3640000,2270000,3930000,3,3,3,3,3,FALSE,FALSE
"Grasshopper Sparrow",5460,30339618.9021233,30326802.6929052,27920464.2154324,32770741.9989643,27147287.3899534,33804867.1931642,30339618.9021233,30326802.6929052,27920464.2154324,32770741.9989643,27147287.3899534,33804867.1931642,29292902.05,29280528,26957208.2,31640151.4,26210705.975,32638599.275,30300000,30300000,27900000,32800000,27100000,33800000,30300000,30300000,27900000,32800000,27100000,33800000,29300000,29300000,2.7e+07,31600000,26200000,32600000,2,2,2,2,2,FALSE,FALSE
"Henslow's Sparrow",5470,263186.69,260306.5,210614.1,320861.3,186309.675,370418.8,263186.69,260306.5,210614.1,320861.3,186309.675,370418.8,263186.69,260306.5,210614.1,320861.3,186309.675,370418.8,263000,260000,211000,321000,186000,370000,263000,260000,211000,321000,186000,370000,263000,260000,211000,321000,186000,370000,4,4,4,4,4,FALSE,FALSE
"LeConte's Sparrow",5480,4490786.71,4428167.5,3709664.9,5272662.4,3294730.625,5751303.85,4490786.71,4428167.5,3709664.9,5272662.4,3294730.625,5751303.85,4490786.71,4428167.5,3709664.9,5272662.4,3294730.625,5751303.85,4490000,4430000,3710000,5270000,3290000,5750000,4490000,4430000,3710000,5270000,3290000,5750000,4490000,4430000,3710000,5270000,3290000,5750000,3,3,2,3,2,FALSE,FALSE
"Nelson's Sparrow",5491,554322.46,541432.5,441555.7,681776.3,413696.15,750020.275,554322.46,541432.5,441555.7,681776.3,413696.15,750020.275,554322.46,541432.5,441555.7,681776.3,413696.15,750020.275,554000,541000,442000,682000,414000,750000,554000,541000,442000,682000,414000,750000,554000,541000,442000,682000,414000,750000,3,4,3,4,3,FALSE,FALSE
"Seaside Sparrow",5500,192038.91,183477.5,35440.7,440812,25172.4,575412.774999999,192038.91,183477.5,35440.7,440812,25172.4,575412.774999999,192038.91,183477.5,35440.7,440812,25172.4,575412.774999999,192000,183000,35400,441000,25200,575000,192000,183000,35400,441000,25200,575000,192000,183000,35400,441000,25200,575000,4,5,4,5,3,FALSE,FALSE
"Lark Sparrow",5520,10339822.7740101,10416786.261212,9431976.59155546,11194259.6805951,8774631.15292059,11523046.4066944,10339822.7740101,10416786.261212,9431976.59155546,11194259.6805951,8774631.15292059,11523046.4066944,9452665.98,9523026,8622713,10233792.2,8021767.8,10534369.025,10300000,10400000,9430000,11200000,8770000,11500000,10300000,10400000,9430000,11200000,8770000,11500000,9450000,9520000,8620000,10200000,8020000,10500000,2,2,2,2,2,FALSE,FALSE
"White-crowned Sparrow",5540,92285133.05,86462437.5,73282624.4,117994376.2,66706670.425,134636917.175,92285133.05,86462437.5,73282624.4,117994376.2,66706670.425,134636917.175,92285133.05,86462437.5,73282624.4,117994376.2,66706670.425,134636917.175,92300000,86500000,73300000,1.18e+08,66700000,1.35e+08,92300000,86500000,73300000,1.18e+08,66700000,1.35e+08,92300000,86500000,73300000,1.18e+08,66700000,1.35e+08,1,1,1,1,1,FALSE,FALSE
"Golden-crowned Sparrow",5570,7429117.04,7105303,4980536.2,10395225.5,3989488.725,12240703.75,7429117.04,7105303,4980536.2,10395225.5,3989488.725,12240703.75,7429117.04,7105303,4980536.2,10395225.5,3989488.725,12240703.75,7430000,7110000,4980000,10400000,3990000,12200000,7430000,7110000,4980000,10400000,3990000,12200000,7430000,7110000,4980000,10400000,3990000,12200000,2,3,2,3,2,FALSE,FALSE
"White-throated Sparrow",5580,155375074.42,153977637,139296647.1,173923848.8,130213470.625,187642223.375,155375074.42,153977637,139296647.1,173923848.8,130213470.625,187642223.375,155375074.42,153977637,139296647.1,173923848.8,130213470.625,187642223.375,1.55e+08,1.54e+08,1.39e+08,1.74e+08,1.3e+08,1.88e+08,1.55e+08,1.54e+08,1.39e+08,1.74e+08,1.3e+08,1.88e+08,1.55e+08,1.54e+08,1.39e+08,1.74e+08,1.3e+08,1.88e+08,1,1,1,1,1,FALSE,FALSE
"American Tree Sparrow",5590,15521009.29,15290157,9397093.2,21581928,7977083.6,24361969.45,15521009.29,15290157,9397093.2,21581928,7977083.6,24361969.45,15521009.29,15290157,9397093.2,21581928,7977083.6,24361969.45,15500000,15300000,9400000,21600000,7980000,24400000,15500000,15300000,9400000,21600000,7980000,24400000,15500000,15300000,9400000,21600000,7980000,24400000,2,2,2,2,2,FALSE,FALSE
"Chipping Sparrow",5600,234651317.804695,233791360.810376,223428458.891628,246980137.635331,219361719.77168,250805523.126809,234651317.804695,233791360.810376,223428458.891628,246980137.635331,219361719.77168,250805523.126809,218906214.38,218103960.5,208436409.3,230407770.4,204642548.375,233976472.525,2.35e+08,2.34e+08,2.23e+08,2.47e+08,2.19e+08,2.51e+08,2.35e+08,2.34e+08,2.23e+08,2.47e+08,2.19e+08,2.51e+08,2.19e+08,2.18e+08,2.08e+08,2.3e+08,2.05e+08,2.34e+08,1,1,1,1,1,FALSE,FALSE
"Clay-colored Sparrow",5610,63684459.64,63407202,57913330.2,70726951.5,56132566.575,73175378.175,63684459.64,63407202,57913330.2,70726951.5,56132566.575,73175378.175,63684459.64,63407202,57913330.2,70726951.5,56132566.575,73175378.175,63700000,63400000,57900000,70700000,56100000,73200000,63700000,63400000,57900000,70700000,56100000,73200000,63700000,63400000,57900000,70700000,56100000,73200000,1,1,1,1,1,FALSE,FALSE
"Brewer's Sparrow",5620,15618102.9,15267752,13750315.8,17987075.9,13130883.7,18862991.025,15618102.9,15267752,13750315.8,17987075.9,13130883.7,18862991.025,15618102.9,15267752,13750315.8,17987075.9,13130883.7,18862991.025,15600000,15300000,13800000,1.8e+07,13100000,18900000,15600000,15300000,13800000,1.8e+07,13100000,18900000,15600000,15300000,13800000,1.8e+07,13100000,18900000,2,2,2,2,2,FALSE,FALSE
"Field Sparrow",5630,8627785.99,8585693,8063826.6,9321040.5,7889173.825,9504115.95,8627785.99,8585693,8063826.6,9321040.5,7889173.825,9504115.95,8627785.99,8585693,8063826.6,9321040.5,7889173.825,9504115.95,8630000,8590000,8060000,9320000,7890000,9500000,8630000,8590000,8060000,9320000,7890000,9500000,8630000,8590000,8060000,9320000,7890000,9500000,2,2,2,2,2,FALSE,FALSE
"Black-chinned Sparrow",5650,626924.332909784,604273.6128759,432924.396442186,848501.482422702,381308.555696739,1047660.10165184,626924.332909784,604273.6128759,432924.396442186,848501.482422702,381308.555696739,1047660.10165184,296033.67,285338,204426.9,400662.4,180053.9,494705.1,627000,604000,433000,849000,381000,1050000,627000,604000,433000,849000,381000,1050000,296000,285000,204000,401000,180000,495000,3,4,3,4,3,FALSE,FALSE
"Dark-eyed Junco",5670,170964760.770771,168038227.227227,150883671.371371,191272855.655656,139639012.362362,201235931.706707,170964760.770771,168038227.227227,150883671.371371,191272855.655656,139639012.362362,201235931.706707,170793796.01,167870189,150732787.7,191081582.8,139499373.35,201034695.775,1.71e+08,1.68e+08,1.51e+08,1.91e+08,1.4e+08,2.01e+08,1.71e+08,1.68e+08,1.51e+08,1.91e+08,1.4e+08,2.01e+08,1.71e+08,1.68e+08,1.51e+08,1.91e+08,1.39e+08,2.01e+08,1,1,1,1,1,FALSE,FALSE
"Yellow-eyed Junco",5700,4463241.57303371,3622022.47191011,852822.097378277,8527846.44194756,20363.2958801498,12860120.7865168,4463241.57303371,3622022.47191011,852822.097378277,8527846.44194756,20363.2958801498,12860120.7865168,238337.1,193416,45540.7,455387,1087.4,686730.449999999,4460000,3620000,853000,8530000,20400,12900000,4460000,3620000,853000,8530000,20400,12900000,238000,193000,45500,455000,1090,687000,3,3,2,5,2,FALSE,FALSE
"Black-throated Sparrow",5730,55030255.5789474,54874521.0526316,50104160,61061144.7368421,46614111.754386,63726203.5964912,55030255.5789474,54874521.0526316,50104160,61061144.7368421,46614111.754386,63726203.5964912,31367245.68,31278477,28559371.2,34804852.5,26570043.7,36323936.05,5.5e+07,54900000,50100000,61100000,46600000,63700000,5.5e+07,54900000,50100000,61100000,46600000,63700000,31400000,31300000,28600000,34800000,26600000,36300000,1,1,1,2,1,FALSE,FALSE
"Sagebrush Sparrow",5738,5471310.96,5343914.5,4113935.5,6990457.3,3714651.025,7681253.275,5471310.96,5343914.5,4113935.5,6990457.3,3714651.025,7681253.275,5471310.96,5343914.5,4113935.5,6990457.3,3714651.025,7681253.275,5470000,5340000,4110000,6990000,3710000,7680000,5470000,5340000,4110000,6990000,3710000,7680000,5470000,5340000,4110000,6990000,3710000,7680000,2,3,2,3,2,FALSE,FALSE
"Bell's Sparrow",5739,264602.767445321,245900.163666121,143756.732629073,374547.239994049,121419.022466895,477931.892575509,264602.767445321,245900.163666121,143756.732629073,374547.239994049,121419.022466895,477931.892575509,177839.52,165269.5,96618.9,251733.2,81605.725,321218.025,265000,246000,144000,375000,121000,478000,265000,246000,144000,375000,121000,478000,178000,165000,96600,252000,81600,321000,4,4,4,4,4,FALSE,FALSE
"Bachman's Sparrow",5750,162317.29,158267.5,113282.3,212619.8,88471.125,244051.975,162317.29,158267.5,113282.3,212619.8,88471.125,244051.975,162317.29,158267.5,113282.3,212619.8,88471.125,244051.975,162000,158000,113000,213000,88500,244000,162000,158000,113000,213000,88500,244000,162000,158000,113000,213000,88500,244000,4,4,4,4,4,FALSE,FALSE
"Botteri's Sparrow",5760,2393514.83516484,2163131.86813187,1171774.72527473,3673280.21978022,719560.43956044,5118340.65934066,2393514.83516484,2163131.86813187,1171774.72527473,3673280.21978022,719560.43956044,5118340.65934066,43561.97,39369,21326.3,66853.7000000001,13096,93153.8,2390000,2160000,1170000,3670000,720000,5120000,2390000,2160000,1170000,3670000,720000,5120000,43600,39400,21300,66900,13100,93200,3,3,3,3,2,FALSE,FALSE
"Cassin's Sparrow",5780,13642928.0243432,13134241.5021523,11436254.5643461,16641912.2754935,10716563.8637376,17248717.9011429,13642928.0243432,13134241.5021523,11436254.5643461,16641912.2754935,10716563.8637376,17248717.9011429,9191240.61,8848538.5,7704604.7,11211656.3,7219749.075,11620461.25,13600000,13100000,11400000,16600000,10700000,17200000,13600000,13100000,11400000,16600000,10700000,17200000,9190000,8850000,7700000,11200000,7220000,11600000,2,2,2,2,2,FALSE,FALSE
"Rufous-winged Sparrow",5790,490666.642174871,455488.611315209,170637.031594416,845791.329904482,50908.7068332109,1045534.5334313,490666.642174871,455488.611315209,170637.031594416,845791.329904482,50908.7068332109,1045534.5334313,66779.73,61992,23223.7,115112.2,6928.675,142297.25,491000,455000,171000,846000,50900,1050000,491000,455000,171000,846000,50900,1050000,66800,62000,23200,115000,6930,142000,4,4,3,4,3,FALSE,FALSE
