"cn","To.ProvBCR","From.ProvBCR","RngAdj","To.BCR","To.Prov","From.BCR","From.Prov"
"Northern Waterthrush","93-6","93-4",1,6,"YT",4,"YT"
"Gyrfalcon","43-4","93-4",0.94,4,"NT",4,"YT"
"Yellow-bellied Flycatcher","43-4","93-4",1.16,4,"NT",4,"YT"
"Swainson's Hawk","43-4","93-4",0.95,4,"NT",4,"YT"
"Tree Swallow","93-6","93-4",1,6,"YT",4,"YT"
"Western Tanager","43-4","93-4",1,4,"NT",4,"YT"
"Downy Woodpecker","43-4","93-4",0.08,4,"NT",4,"YT"
"Western Tanager","93-6","93-4",1,6,"YT",4,"YT"
"Blackpoll Warbler","93-6","93-4",1,6,"YT",4,"YT"
"Ovenbird","93-6","93-4",1,6,"YT",4,"YT"
"Merlin","43-4","93-4",1,4,"NT",4,"YT"
"Lincoln's Sparrow","43-4","93-4",0.9,4,"NT",4,"YT"
"Pine Siskin","93-6","93-4",0.04,6,"YT",4,"YT"
"Peregrine Falcon","93-6","93-4",2,6,"YT",4,"YT"
"Spruce Grouse","93-6","93-4",1,6,"YT",4,"YT"
"Hermit Thrush","43-4","93-4",0.26,4,"NT",4,"YT"
"Clay-colored Sparrow","43-4","93-4",1,4,"NT",4,"YT"
"Chipping Sparrow","43-4","93-4",1,4,"NT",4,"YT"
"Tennessee Warbler","93-6","93-4",0.05,6,"YT",4,"YT"
"Cliff Swallow","93-6","93-4",0.08,6,"YT",4,"YT"
"Golden-crowned Kinglet","93-6","93-4",0.04,6,"YT",4,"YT"
"Least Flycatcher","43-4","93-4",1.44,4,"NT",4,"YT"
"Eastern Kingbird","93-6","93-4",1,6,"YT",4,"YT"
"Osprey","43-4","93-4",1,4,"NT",4,"YT"
"American Three-toed Woodpecker","93-6","93-4",1,6,"YT",4,"YT"
"Red Crossbill","93-6","93-4",0.04,6,"YT",4,"YT"
"American Pipit","43-4","93-4",0.52,4,"NT",4,"YT"
"Rough-legged Hawk","93-6","93-4",2,6,"YT",4,"YT"
"Northern Hawk Owl","93-6","93-4",1,6,"YT",4,"YT"
"Gray-crowned Rosy-Finch","93-6","93-4",0.96,6,"YT",4,"YT"
"Common Raven","43-4","93-4",1,4,"NT",4,"YT"
"Gyrfalcon","93-6","93-4",1.22,6,"YT",4,"YT"
"Hoary Redpoll","93-6","93-4",2,6,"YT",4,"YT"
"Northern Hawk Owl","43-4","93-4",1,4,"NT",4,"YT"
"Fox Sparrow","93-6","93-4",1,6,"YT",4,"YT"
"Black-backed Woodpecker","93-6","93-4",0.04,6,"YT",4,"YT"
"Bald Eagle","93-6","93-4",1,6,"YT",4,"YT"
"Ruffed Grouse","93-6","93-4",1.1,6,"YT",4,"YT"
"Savannah Sparrow","93-6","93-4",1,6,"YT",4,"YT"
"Red-tailed Hawk","93-6","93-4",1,6,"YT",4,"YT"
"Short-eared Owl","43-4","93-4",1,4,"NT",4,"YT"
"Orange-crowned Warbler","93-6","93-4",1,6,"YT",4,"YT"
"Golden Eagle","43-4","93-4",1,4,"NT",4,"YT"
"Black-and-white Warbler","93-6","93-4",1,6,"YT",4,"YT"
"Canada Warbler","43-4","93-4",1,4,"NT",4,"YT"
"Belted Kingfisher","93-6","93-4",1,6,"YT",4,"YT"
"Hermit Thrush","93-6","93-4",0.04,6,"YT",4,"YT"
"Great Gray Owl","43-4","93-4",1,4,"NT",4,"YT"
"Swainson's Thrush","43-4","93-4",0.81,4,"NT",4,"YT"
"Willow Ptarmigan","43-4","93-4",0.99,4,"NT",4,"YT"
"Blackpoll Warbler","43-4","93-4",1,4,"NT",4,"YT"
"American Tree Sparrow","93-6","93-4",1,6,"YT",4,"YT"
"Western Wood-Pewee","93-6","93-4",0.04,6,"YT",4,"YT"
"Willow Ptarmigan","93-6","93-4",0.97,6,"YT",4,"YT"
"Barn Swallow","93-6","93-4",0.05,6,"YT",4,"YT"
"Downy Woodpecker","93-6","93-4",0.05,6,"YT",4,"YT"
"Say's Phoebe","43-4","93-4",1,4,"NT",4,"YT"
"Western Wood-Pewee","43-4","93-4",0.08,4,"NT",4,"YT"
"Song Sparrow","93-6","93-4",0.06,6,"YT",4,"YT"
"Orange-crowned Warbler","43-4","93-4",1,4,"NT",4,"YT"
"Gray-cheeked Thrush","93-6","93-4",1.12,6,"YT",4,"YT"
"Merlin","93-6","93-4",1,6,"YT",4,"YT"
"Belted Kingfisher","43-4","93-4",1,4,"NT",4,"YT"
"Ovenbird","43-4","93-4",1,4,"NT",4,"YT"
"Great Gray Owl","93-6","93-4",0.85,6,"YT",4,"YT"
"White-tailed Ptarmigan","43-4","93-4",0.75,4,"NT",4,"YT"
"Red-winged Blackbird","43-4","93-4",0.77,4,"NT",4,"YT"
"Boreal Chickadee","43-4","93-4",1,4,"NT",4,"YT"
"Bohemian Waxwing","43-4","93-4",1,4,"NT",4,"YT"
"Common Raven","93-6","93-4",1,6,"YT",4,"YT"
"American Three-toed Woodpecker","43-4","93-4",1,4,"NT",4,"YT"
"Pine Grosbeak","93-6","93-4",1,6,"YT",4,"YT"
"Hairy Woodpecker","43-4","93-4",0.99,4,"NT",4,"YT"
"Northern Harrier","43-4","93-4",1,4,"NT",4,"YT"
"Rusty Blackbird","43-4","93-4",1,4,"NT",4,"YT"
"Northern Flicker","43-4","93-4",1,4,"NT",4,"YT"
"Sharp-shinned Hawk","93-6","93-4",1,6,"YT",4,"YT"
"European Starling","43-4","93-4",0.09,4,"NT",4,"YT"
"Yellow-rumped Warbler","93-6","93-4",1,6,"YT",4,"YT"
"Northern Waterthrush","43-4","93-4",1,4,"NT",4,"YT"
"Bank Swallow","43-4","93-4",1,4,"NT",4,"YT"
"Osprey","93-6","93-4",1,6,"YT",4,"YT"
"Winter Wren","93-6","93-4",0.75,6,"YT",4,"YT"
"Black-and-white Warbler","43-4","93-4",1,4,"NT",4,"YT"
"Least Flycatcher","93-6","93-4",0.06,6,"YT",4,"YT"
"Bohemian Waxwing","93-6","93-4",1,6,"YT",4,"YT"
"Canada Warbler","93-6","93-4",1,6,"YT",4,"YT"
"Eastern Phoebe","93-6","93-4",1,6,"YT",4,"YT"
"Swainson's Thrush","93-6","93-4",0.03,6,"YT",4,"YT"
"Great Horned Owl","43-4","93-4",1.04,4,"NT",4,"YT"
"Clay-colored Sparrow","93-6","93-4",1,6,"YT",4,"YT"
"Ruffed Grouse","43-4","93-4",1.1,4,"NT",4,"YT"
"Alder Flycatcher","43-4","93-4",0.96,4,"NT",4,"YT"
"White-crowned Sparrow","43-4","93-4",1,4,"NT",4,"YT"
"Black-backed Woodpecker","43-4","93-4",0.27,4,"NT",4,"YT"
"Song Sparrow","43-4","93-4",0.07,4,"NT",4,"YT"
"Common Yellowthroat","93-6","93-4",0.12,6,"YT",4,"YT"
"Boreal Chickadee","93-6","93-4",1,6,"YT",4,"YT"
"Swainson's Hawk","93-6","93-4",1,6,"YT",4,"YT"
"White-tailed Ptarmigan","93-6","93-4",1.33,6,"YT",4,"YT"
"Dark-eyed Junco","93-6","93-4",1,6,"YT",4,"YT"
"Horned Lark","93-6","93-4",0.61,6,"YT",4,"YT"
"Rock Ptarmigan","93-6","93-4",0.97,6,"YT",4,"YT"
"Tennessee Warbler","43-4","93-4",1.12,4,"NT",4,"YT"
"American Redstart","93-6","93-4",0.08,6,"YT",4,"YT"
"Gray Jay","93-6","93-4",1,6,"YT",4,"YT"
"Northern Wheatear","93-6","93-4",0.97,6,"YT",4,"YT"
"Wilson's Warbler","93-6","93-4",1,6,"YT",4,"YT"
"Varied Thrush","43-4","93-4",1,4,"NT",4,"YT"
"Common Redpoll","93-6","93-4",0.97,6,"YT",4,"YT"
"Yellow-bellied Flycatcher","93-6","93-4",0.08,6,"YT",4,"YT"
"Cliff Swallow","43-4","93-4",1.04,4,"NT",4,"YT"
"American Kestrel","43-4","93-4",1.09,4,"NT",4,"YT"
"American Robin","43-4","93-4",1,4,"NT",4,"YT"
"American Tree Sparrow","43-4","93-4",1,4,"NT",4,"YT"
"White-throated Sparrow","93-6","93-4",0.15,6,"YT",4,"YT"
"Magnolia Warbler","93-6","93-4",1,6,"YT",4,"YT"
"Sharp-tailed Grouse","93-6","93-4",0.36,6,"YT",4,"YT"
"Rusty Blackbird","93-6","93-4",1,6,"YT",4,"YT"
"Northern Flicker","93-6","93-4",1,6,"YT",4,"YT"
"Sharp-shinned Hawk","43-4","93-4",1,4,"NT",4,"YT"
"White-winged Crossbill","93-6","93-4",1,6,"YT",4,"YT"
"American Robin","93-6","93-4",1,6,"YT",4,"YT"
"Varied Thrush","93-6","93-4",1,6,"YT",4,"YT"
"European Starling","93-6","93-4",0.04,6,"YT",4,"YT"
"Hairy Woodpecker","93-6","93-4",0.04,6,"YT",4,"YT"
"Dusky Grouse","93-6","93-4",1,6,"YT",4,"YT"
"Common Nighthawk","93-6","93-4",0.04,6,"YT",4,"YT"
"Northern Shrike","93-6","93-4",1,6,"YT",4,"YT"
"Olive-sided Flycatcher","43-4","93-4",0.99,4,"NT",4,"YT"
"Say's Phoebe","93-6","93-4",1,6,"YT",4,"YT"
"Eastern Phoebe","43-4","93-4",1,4,"NT",4,"YT"
"Townsend's Solitaire","43-4","93-4",0.98,4,"NT",4,"YT"
"Black-billed Magpie","93-6","93-4",0.04,6,"YT",4,"YT"
"American Dipper","93-6","93-4",0.04,6,"YT",4,"YT"
"Ruby-crowned Kinglet","93-6","93-4",1,6,"YT",4,"YT"
"Savannah Sparrow","43-4","93-4",1,4,"NT",4,"YT"
"Northern Shrike","43-4","93-4",1,4,"NT",4,"YT"
"Alder Flycatcher","93-6","93-4",0.97,6,"YT",4,"YT"
"Eastern Kingbird","43-4","93-4",2,4,"NT",4,"YT"
"Golden Eagle","93-6","93-4",1,6,"YT",4,"YT"
"Yellow-rumped Warbler","43-4","93-4",1,4,"NT",4,"YT"
"Barn Swallow","43-4","93-4",1.3,4,"NT",4,"YT"
"Dusky Grouse","43-4","93-4",2,4,"NT",4,"YT"
"American Kestrel","93-6","93-4",0.54,6,"YT",4,"YT"
"Yellow Warbler","43-4","93-4",1,4,"NT",4,"YT"
"Common Nighthawk","43-4","93-4",0.73,4,"NT",4,"YT"
"Red Crossbill","43-4","93-4",0.69,4,"NT",4,"YT"
"Long-eared Owl","93-6","93-4",0.38,6,"YT",4,"YT"
"Olive-sided Flycatcher","93-6","93-4",0.83,6,"YT",4,"YT"
"American Pipit","93-6","93-4",0.97,6,"YT",4,"YT"
"Gray-crowned Rosy-Finch","43-4","93-4",0.24,4,"NT",4,"YT"
"Yellow-bellied Sapsucker","93-6","93-4",0.04,6,"YT",4,"YT"
"Wilson's Warbler","43-4","93-4",1,4,"NT",4,"YT"
"Common Redpoll","43-4","93-4",0.93,4,"NT",4,"YT"
"Long-eared Owl","43-4","93-4",2,4,"NT",4,"YT"
"Warbling Vireo","43-4","93-4",1.84,4,"NT",4,"YT"
"Horned Lark","43-4","93-4",0.59,4,"NT",4,"YT"
"Short-eared Owl","93-6","93-4",1,6,"YT",4,"YT"
"Common Yellowthroat","43-4","93-4",0.08,4,"NT",4,"YT"
"Magnolia Warbler","43-4","93-4",1,4,"NT",4,"YT"
"Ruby-crowned Kinglet","43-4","93-4",1,4,"NT",4,"YT"
"White-crowned Sparrow","93-6","93-4",1,6,"YT",4,"YT"
"White-throated Sparrow","43-4","93-4",2,4,"NT",4,"YT"
"Golden-crowned Sparrow","43-4","93-4",0.35,4,"NT",4,"YT"
"Tree Swallow","43-4","93-4",1,4,"NT",4,"YT"
"Black-capped Chickadee","43-4","93-4",0.1,4,"NT",4,"YT"
"Winter Wren","43-4","93-4",0.14,4,"NT",4,"YT"
"Gray Jay","43-4","93-4",0.87,4,"NT",4,"YT"
"Black-billed Magpie","43-4","93-4",0.02,4,"NT",4,"YT"
"Boreal Owl","43-4","93-4",1,4,"NT",4,"YT"
"Northern Wheatear","43-4","93-4",0.42,4,"NT",4,"YT"
"Purple Finch","93-6","93-4",0.08,6,"YT",4,"YT"
"Northern Goshawk","93-6","93-4",1,6,"YT",4,"YT"
"Rock Ptarmigan","43-4","93-4",0.95,4,"NT",4,"YT"
"Gray-cheeked Thrush","43-4","93-4",0.99,4,"NT",4,"YT"
"Spruce Grouse","43-4","93-4",1,4,"NT",4,"YT"
"Golden-crowned Sparrow","93-6","93-4",0.03,6,"YT",4,"YT"
"American Dipper","43-4","93-4",0.86,4,"NT",4,"YT"
"White-winged Crossbill","43-4","93-4",1,4,"NT",4,"YT"
"Lincoln's Sparrow","93-6","93-4",0.04,6,"YT",4,"YT"
"Sharp-tailed Grouse","43-4","93-4",1.09,4,"NT",4,"YT"
"Red-tailed Hawk","43-4","93-4",1,4,"NT",4,"YT"
"Northern Harrier","93-6","93-4",1,6,"YT",4,"YT"
"Great Horned Owl","93-6","93-4",0.67,6,"YT",4,"YT"
"Black-capped Chickadee","93-6","93-4",0.05,6,"YT",4,"YT"
"Red-breasted Nuthatch","93-6","93-4",0.05,6,"YT",4,"YT"
"Pine Grosbeak","43-4","93-4",1,4,"NT",4,"YT"
