"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability","edr"
"Zone-tailed Hawk",3400,166569.736842105,157417.763157895,88710.5263157895,260404.605263158,66055.0986842105,317013.157894737,166569.736842105,157417.763157895,88710.5263157895,260404.605263158,66055.0986842105,317013.157894737,10127.44,9571,5393.6,15832.6,4016.15,19274.4,167000,157000,88700,260000,66100,317000,167000,157000,88700,260000,66100,317000,10100,9570,5390,15800,4020,19300,4,4,4,4,4,FALSE,FALSE
"Swainson's Hawk",3420,2219570.13139622,2230901.07894456,2016781.54043371,2404857.81433607,1934352.1525478,2436973.02638607,2219570.13139622,2230901.07894456,2016781.54043371,2404857.81433607,1934352.1525478,2436973.02638607,2077739.6,2088346.5,1887909.2,2251187.4,1810747.05,2281250.45,2220000,2230000,2020000,2400000,1930000,2440000,2220000,2230000,2020000,2400000,1930000,2440000,2080000,2090000,1890000,2250000,1810000,2280000,3,3,3,3,3,TRUE,TRUE
"Broad-winged Hawk",3430,5057839.88107443,5047528.70617183,4779864.67090424,5382244.00246053,4643859.80110724,5555071.30408038,5057839.88107443,5047528.70617183,4779864.67090424,5382244.00246053,4643859.80110724,5555071.30408038,4933417.02,4923359.5,4662280,5249840.8,4529620.85,5418416.55,5060000,5050000,4780000,5380000,4640000,5560000,5060000,5050000,4780000,5380000,4640000,5560000,4930000,4920000,4660000,5250000,4530000,5420000,2,3,2,3,2,TRUE,TRUE
"Common Black Hawk",3450,10270.6896551724,6178.16091954023,0,28495.6896551724,0,37919.540229885,10270.6896551724,6178.16091954023,0,28495.6896551724,0,37919.540229885,714.84,430,0,1983.3,0,2639.2,10300,6180,0,28500,0,37900,10300,6180,0,28500,0,37900,715,430,0,1980,0,2640,5,5,5,5,5,FALSE,FALSE
"Rough-legged Hawk",3470,116727.46,112308,42459.8,194318,24931.65,227943.95,58363.73,56154,21229.9,97159,12465.825,113971.975,58363.73,56154,21229.9,97159,12465.825,113971.975,117000,112000,42500,194000,24900,228000,58400,56200,21200,97200,12500,114000,58400,56200,21200,97200,12500,114000,4,5,4,5,4,FALSE,FALSE
"Ferruginous Hawk",3480,391106.29,383379,325680.5,457849.7,312467.325,485113.625,391106.29,383379,325680.5,457849.7,312467.325,485113.625,391106.29,383379,325680.5,457849.7,312467.325,485113.625,391000,383000,326000,458000,312000,485000,391000,383000,326000,458000,312000,485000,391000,383000,326000,458000,312000,485000,4,4,4,4,4,TRUE,TRUE
"Golden Eagle",3490,511335.476391231,509448.777403035,439226.391231029,585321.247892074,406992.200674536,653878.688870152,255694.68746706,254751.238536945,219636.344471382,292691.472541372,203517.550332033,326973.806261199,242577.55,241682.5,208369,277676.4,193077.1,310200.05,511000,509000,439000,585000,407000,654000,256000,255000,220000,293000,204000,327000,243000,242000,208000,278000,193000,310000,3,4,3,4,3,TRUE,TRUE
"Bald Eagle",3520,5190508.34083408,5120799.579958,4158252.12521252,6158775.97759776,3816882.83828383,7055149.889989,5190508.34083408,5120799.579958,4158252.12521252,6158775.97759776,3816882.83828383,7055149.889989,5189989.29,5120287.5,4157836.3,6158160.1,3816501.15,7054444.375,5190000,5120000,4160000,6160000,3820000,7060000,5190000,5120000,4160000,6160000,3820000,7060000,5190000,5120000,4160000,6160000,3820000,7050000,2,3,2,3,2,TRUE,TRUE
"Gyrfalcon",3540,3778.52,2697,0,9325.4,0,13656.35,1889.26,1348.5,0,4662.7,0,6828.17499999999,1889.26,1348.5,0,4662.7,0,6828.17499999999,3780,2700,0,9330,0,13700,1890,1350,0,4660,0,6830,1890,1350,0,4660,0,6830,5,5,5,5,5,FALSE,FALSE
"Prairie Falcon",3550,396177.071470076,396557.815223707,341968.622893666,450550.145264381,316839.337594422,485955.549099361,396177.071470076,396557.815223707,341968.622893666,450550.145264381,316839.337594422,485955.549099361,340910.37,341238,294264,387698.4,272640.25,418164.75,396000,397000,342000,451000,317000,486000,396000,397000,342000,451000,317000,486000,341000,341000,294000,388000,273000,418000,4,4,4,4,4,TRUE,TRUE
