"x"
"Common Yellowthroat - Missing Polygon - 39-26"
"American Redstart - Missing Polygon - 18-28"
"American Redstart - Missing Polygon - 33-9"
"American Redstart - Missing Polygon - 54-19"
"American Redstart - Missing Polygon - 57-7"
"American Redstart - Missing Polygon - 67-24"
"House Sparrow - Missing Polygon - 18-28"
"House Sparrow - Missing Polygon - 39-26"
"House Sparrow - Missing Polygon - 45-8"
"House Sparrow - Missing Polygon - 43-7"
"House Sparrow - Missing Polygon - 43-7"
"American Dipper - Missing Polygon - 60-35"
"American Dipper - Missing Polygon - 93-4"
"American Dipper - Missing Polygon - 93-4"
"Gray Catbird - Missing Polygon - 18-28"
"Gray Catbird - Missing Polygon - 39-26"
"Gray Catbird - Missing Polygon - 67-24"
"House Wren - Missing Polygon - 18-28"
"House Wren - Missing Polygon - 39-26"
"House Wren - Missing Polygon - 55-33"
"House Wren - Missing Polygon - 67-24"
"Marsh Wren - Missing Polygon - 6-16"
"Marsh Wren - Missing Polygon - 18-28"
"Marsh Wren - Missing Polygon - 35-23"
"Marsh Wren - Missing Polygon - 59-29"
"Marsh Wren - Missing Polygon - 72-29"
"Brown Creeper - Missing Polygon - 18-28"
"Brown Creeper - Missing Polygon - 33-9"
"Brown Creeper - Missing Polygon - 57-7"
"Brown Creeper - Missing Polygon - 55-33"
"White-breasted Nuthatch - Missing Polygon - 18-28"
"White-breasted Nuthatch - Missing Polygon - 39-26"
"White-breasted Nuthatch - Missing Polygon - 54-18"
"White-breasted Nuthatch - Missing Polygon - 55-33"
"Red-breasted Nuthatch - Missing Polygon - 18-28"
"Red-breasted Nuthatch - Missing Polygon - 43-7"
"Black-capped Chickadee - Missing Polygon - 18-28"
"Black-capped Chickadee - Missing Polygon - 59-30"
"Black-capped Chickadee - Missing Polygon - 43-7"
"Mountain Chickadee - Missing Polygon - 55-33"
"Golden-crowned Kinglet - Missing Polygon - 18-28"
"Golden-crowned Kinglet - Missing Polygon - 33-9"
"Golden-crowned Kinglet - Missing Polygon - 58-30"
"Golden-crowned Kinglet - Missing Polygon - 55-33"
"Townsend's Solitaire - Missing Polygon - 55-33"
"Veery - Missing Polygon - 18-28"
"Veery - Missing Polygon - 59-30"
"Veery - Missing Polygon - 85-16"
"Hermit Thrush - Missing Polygon - 18-28"
"Hermit Thrush - Missing Polygon - 59-29"
"Hermit Thrush - Missing Polygon - 55-33"
"American Robin - Missing Polygon - 18-28"
"American Robin - Missing Polygon - 39-26"
"American Robin - Missing Polygon - 42-37"
"American Robin - Missing Polygon - 55-33"
"Mountain Bluebird - Missing Polygon - 55-33"
"Gray Partridge - Missing Polygon - 54-19"
"Gray Partridge - Missing Polygon - 85-16"
"Sharp-tailed Grouse - Missing Polygon - 4-6"
"Sharp-tailed Grouse - Missing Polygon - 4-6"
"Sharp-tailed Grouse - Missing Polygon - 45-8"
"Sharp-tailed Grouse - Missing Polygon - 43-7"
"Sharp-tailed Grouse - Missing Polygon - 43-7"
"Sharp-tailed Grouse - Missing Polygon - 85-16"
"Sharp-tailed Grouse - Missing Polygon - 93-4"
"Sharp-tailed Grouse - Missing Polygon - 93-4"
"Ring-necked Pheasant - Missing Polygon - 6-16"
"Ring-necked Pheasant - Missing Polygon - 18-28"
"Ring-necked Pheasant - Missing Polygon - 58-30"
"Ring-necked Pheasant - Missing Polygon - 59-30"
"Ring-necked Pheasant - Missing Polygon - 59-29"
"Ring-necked Pheasant - Missing Polygon - 55-33"
"Rock Pigeon - Missing Polygon - 18-28"
"Rock Pigeon - Missing Polygon - 39-26"
"Turkey Vulture - Missing Polygon - 18-28"
"Turkey Vulture - Missing Polygon - 39-26"
"Ferruginous Hawk - Missing Polygon - 6-16"
"Ferruginous Hawk - Missing Polygon - 54-19"
"Ferruginous Hawk - Missing Polygon - 55-33"
"Prairie Falcon - Missing Polygon - 54-18"
"Prairie Falcon - Missing Polygon - 54-19"
"Prairie Falcon - Missing Polygon - 55-33"
"Peregrine Falcon - Missing Polygon - 3-2"
"Peregrine Falcon - Missing Polygon - 3-5"
"Peregrine Falcon - Missing Polygon - 14-15"
"Peregrine Falcon - Missing Polygon - 43-7"
"Peregrine Falcon - Missing Polygon - 55-33"
"Short-eared Owl - Missing Polygon - 4-6"
"Short-eared Owl - Missing Polygon - 4-6"
"Short-eared Owl - Missing Polygon - 3-5"
"Short-eared Owl - Missing Polygon - 14-15"
"Short-eared Owl - Missing Polygon - 35-23"
"Short-eared Owl - Missing Polygon - 45-8"
"Short-eared Owl - Missing Polygon - 54-18"
"Short-eared Owl - Missing Polygon - 54-19"
"Short-eared Owl - Missing Polygon - 57-7"
"Short-eared Owl - Missing Polygon - 43-7"
"Short-eared Owl - Missing Polygon - 43-7"
"Short-eared Owl - Missing Polygon - 85-16"
"Great Horned Owl - Missing Polygon - 3-2"
"Great Horned Owl - Missing Polygon - 3-3"
"Great Horned Owl - Missing Polygon - 3-5"
"Great Horned Owl - Missing Polygon - 6-16"
"Great Horned Owl - Missing Polygon - 18-28"
"Great Horned Owl - Missing Polygon - 35-23"
"Great Horned Owl - Missing Polygon - 39-26"
"Great Horned Owl - Missing Polygon - 45-8"
"Great Horned Owl - Missing Polygon - 58-30"
"Great Horned Owl - Missing Polygon - 59-30"
"Great Horned Owl - Missing Polygon - 59-29"
"Great Horned Owl - Missing Polygon - 57-7"
"Great Horned Owl - Missing Polygon - 43-7"
"Great Horned Owl - Missing Polygon - 43-7"
"Great Horned Owl - Missing Polygon - 67-24"
