"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability","edr"
"Chestnut-sided Warbler",6590,52924322.47,52783474,50118811.1,55690343.4,49113564.4,57470650.025,52924322.47,52783474,50118811.1,55690343.4,49113564.4,57470650.025,52924322.47,52783474,50118811.1,55690343.4,49113564.4,57470650.025,52900000,52800000,50100000,55700000,49100000,57500000,52900000,52800000,50100000,55700000,49100000,57500000,52900000,52800000,50100000,55700000,49100000,57500000,1,1,1,2,1,TRUE,TRUE
"Bay-breasted Warbler",6600,21193440.94,20766384.5,17419144.2,25505766.3,15595277.35,28413414.925,21193440.94,20766384.5,17419144.2,25505766.3,15595277.35,28413414.925,21193440.94,20766384.5,17419144.2,25505766.3,15595277.35,28413414.925,21200000,20800000,17400000,25500000,15600000,28400000,21200000,20800000,17400000,25500000,15600000,28400000,21200000,20800000,17400000,25500000,15600000,28400000,2,2,2,2,2,TRUE,TRUE
"Blackpoll Warbler",6610,159339146.7,155141726,130628278,189967310.7,116762096.3,206421680.075,159339146.7,155141726,130628278,189967310.7,116762096.3,206421680.075,159339146.7,155141726,130628278,189967310.7,116762096.3,206421680.075,1.59e+08,1.55e+08,1.31e+08,1.9e+08,1.17e+08,2.06e+08,1.59e+08,1.55e+08,1.31e+08,1.9e+08,1.17e+08,2.06e+08,1.59e+08,1.55e+08,1.31e+08,1.9e+08,1.17e+08,2.06e+08,1,1,1,1,1,TRUE,TRUE
"Blackburnian Warbler",6620,27090594.46,26984443.5,24837999.2,29566953.2,24034780.95,30735256.375,27090594.46,26984443.5,24837999.2,29566953.2,24034780.95,30735256.375,27090594.46,26984443.5,24837999.2,29566953.2,24034780.95,30735256.375,27100000,2.7e+07,24800000,29600000,2.4e+07,30700000,27100000,2.7e+07,24800000,29600000,2.4e+07,30700000,27100000,2.7e+07,24800000,29600000,2.4e+07,30700000,2,2,2,2,2,TRUE,TRUE
"Yellow-throated Warbler",6630,23441390.9928865,23243357.3790201,21737273.7200681,25070879.1704238,20988432.7973149,26604693.492636,23441390.9928865,23243357.3790201,21737273.7200681,25070879.1704238,20988432.7973149,26604693.492636,23396852.35,23199195,21695972.9,25023244.5,20948554.775,26554144.575,23400000,23200000,21700000,25100000,2.1e+07,26600000,23400000,23200000,21700000,25100000,2.1e+07,26600000,23400000,23200000,21700000,2.5e+07,20900000,26600000,2,2,2,2,2,TRUE,TRUE
"Grace's Warbler",6640,8602637.17562994,8438588.75517112,6338560.5490786,11229917.074088,5304584.28920647,12454495.9571267,8602637.17562994,8438588.75517112,6338560.5490786,11229917.074088,5304584.28920647,12454495.9571267,4574882.45,4487641.5,3370846.5,5972069.9,2820977.925,6623300.95,8600000,8440000,6340000,11200000,5300000,12500000,8600000,8440000,6340000,11200000,5300000,12500000,4570000,4490000,3370000,5970000,2820000,6620000,2,2,2,2,2,TRUE,TRUE
"Black-throated Gray Warbler",6650,12167510.3688029,12060662.535268,10777054.1112455,13627753.2245062,10422022.974607,14063696.2918178,12167510.3688029,12060662.535268,10777054.1112455,13627753.2245062,10422022.974607,14063696.2918178,12075037.29,11969001.5,10695148.5,13524182.3,10342815.6,13956812.2,12200000,12100000,10800000,13600000,10400000,14100000,12200000,12100000,10800000,13600000,10400000,14100000,12100000,1.2e+07,10700000,13500000,10300000,1.4e+07,2,2,2,2,2,TRUE,TRUE
"Golden-cheeked Warbler",6660,46501.97,40140,16183.1,82612.8,8484.4,113793.825,46501.97,40140,16183.1,82612.8,8484.4,113793.825,46501.97,40140,16183.1,82612.8,8484.4,113793.825,46500,40100,16200,82600,8480,114000,46500,40100,16200,82600,8480,114000,46500,40100,16200,82600,8480,114000,5,5,4,5,4,FALSE,FALSE
"Black-throated Green Warbler",6670,30733368.64,30646137.5,28436793.4,32872977.2,27615943.975,34047027.3,30733368.64,30646137.5,28436793.4,32872977.2,27615943.975,34047027.3,30733368.64,30646137.5,28436793.4,32872977.2,27615943.975,34047027.3,30700000,30600000,28400000,32900000,27600000,3.4e+07,30700000,30600000,28400000,32900000,27600000,3.4e+07,30700000,30600000,28400000,32900000,27600000,3.4e+07,2,2,2,2,2,TRUE,TRUE
"Townsend's Warbler",6680,52244174.73,52247286.5,46178944.6,58361253.6,43949493.475,62844518.7,52244174.73,52247286.5,46178944.6,58361253.6,43949493.475,62844518.7,52244174.73,52247286.5,46178944.6,58361253.6,43949493.475,62844518.7,52200000,52200000,46200000,58400000,43900000,62800000,52200000,52200000,46200000,58400000,43900000,62800000,52200000,52200000,46200000,58400000,43900000,62800000,1,2,1,2,1,TRUE,TRUE
