"Prov","cn","Aou","BCR","n.routes","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
2,"Horned Lark",4740,24,6,2993.63,2971,0.728966328977209,273.6,5901.6,0,7407.75,2990,2970,274,5900,0,7410,"AL"
2,"Wood Thrush",7550,24,6,142494.75,141117,0.286800128449847,88372.4,191199.8,66895.275,218686.775,142000,141000,88400,191000,66900,219000,"AL"
2,"Black Vulture",3260,27,57,659136.21,631611,0.230701346162744,494513.6,846461.4,394947,981082.225,659000,632000,495000,846000,395000,981000,"AL"
2,"Gray Catbird",7040,24,6,5585.23,5645.5,0.394784410307133,2790,8236.9,1499.3,9763.625,5590,5650,2790,8240,1500,9760,"AL"
2,"Chipping Sparrow",5600,27,57,807225.98,815042.5,0.16795448588525,650901,988627.7,551135.9,1048016.575,807000,815000,651000,989000,551000,1050000,"AL"
2,"Blue Grosbeak",5970,29,5,177183.2,172437,0.19003138040715,138013.8,221864.4,119132.775,246292.125,177000,172000,138000,222000,119000,246000,"AL"
2,"Black-and-white Warbler",6360,27,57,239748.09,238412,0.264131889564604,164482.3,318160.5,147298.625,367249.85,240000,238000,164000,318000,147000,367000,"AL"
2,"Carolina Chickadee",7360,24,6,486516.52,482373.5,0.210203951289693,368578.4,616971,320838.075,712548.55,487000,482000,369000,617000,321000,713000,"AL"
2,"Eastern Meadowlark",5010,28,21,431151.74,430389.5,0.175924139191561,339227.1,525706.8,312795.475,583023.525,431000,430000,339000,526000,313000,583000,"AL"
2,"Eastern Meadowlark",5010,27,57,404436.3,397174.5,0.185921925929144,311848.1,506106.6,286450.1,548298.35,404000,397000,312000,506000,286000,548000,"AL"
2,"Yellow-billed Cuckoo",3870,29,5,175972.34,171253,0.19362972594173,135338.2,218577.4,128459.15,251549.9,176000,171000,135000,219000,128000,252000,"AL"
2,"Wood Thrush",7550,29,5,178912.95,177711,0.144223595980055,148636.9,212609,133926.975,227223.85,179000,178000,149000,213000,134000,227000,"AL"
2,"Yellow-billed Cuckoo",3870,28,21,713528.57,709792.5,0.116982111749264,604255.6,830858.5,583792.575,868693.875,714000,710000,604000,831000,584000,869000,"AL"
2,"Dickcissel",6040,27,57,53668.1,50710,0.76402777271629,7207.8,102542.4,1358.475,147765.3,53700,50700,7210,103000,1360,148000,"AL"
2,"Yellow-throated Warbler",6630,27,57,384117.36,382053.5,0.249864958224615,257347.8,516391.9,224232.5,561778.75,384000,382000,257000,516000,224000,562000,"AL"
2,"Gray Catbird",7040,27,57,147736.55,149518.5,0.209138746880422,106066.1,188189.4,91467.625,199391.35,148000,150000,106000,188000,91500,199000,"AL"
2,"American Redstart",6870,27,57,172141.04,173030.5,0.21510652153201,127618.1,217788,110346,242171.225,172000,173000,128000,218000,110000,242000,"AL"
2,"Blue Grosbeak",5970,28,21,928282.94,945146,0.191570687062643,705889.2,1126541.5,604620.45,1275367.425,928000,945000,706000,1130000,605000,1280000,"AL"
2,"Worm-eating Warbler",6390,27,57,186975.27,185874,0.291446237550886,115917.8,252801,82595.225,290905.65,187000,186000,116000,253000,82600,291000,"AL"
2,"Belted Kingfisher",3900,28,21,33495.9,32933.5,0.299152277689777,21093.8,47018,17071.125,53374.325,33500,32900,21100,47000,17100,53400,"AL"
2,"American Crow",4880,24,6,218194.67,218158,0.140290769358897,180386.5,254545,161700.3,280649.825,218000,218000,180000,255000,162000,281000,"AL"
