cn,aou,TimeAdj.meanlog,Dist2,Pair2,order,family,genus,family_TimeAdj.meanlog,family_Dist2,family_Pair2,genus_TimeAdj.meanlog,genus_Dist2,genus_Pair2,order_TimeAdj.meanlog,order_Dist2,order_Pair2,Pair2_final,Dist2_final,TimeAdj.meanlog_final,C_t,C_d,C_p,PIF_adj_birds_km2
Red-cockaded Woodpecker,3950,0.27959732,125,1.5,Piciformes,Picidae,Dryobates,0.30280097036363635,160.22727272727272,1.5909090909090908,0.2858223914285714,125,1.8214285714285714,0.30280097036363635,160.22727272727272,1.5909090909090908,1.5,125,0.27959732,1.322597121683739,0.407436998462562,1.5,0.8083125021510698
Rock Ptarmigan,3020,0.516304491,125,2,Galliformes,Phasianidae,Lagopus,0.4597494906,195,1.8833333333333333,0.516304491,125,2,0.4669907040454545,205.6818181818182,1.8295454545454546,2,125,0.516304491,1.6758231727923993,0.407436998462562,2,1.3655847269530852
Ruffed Grouse,3000,0.338156837,200,2,Galliformes,Phasianidae,Bonasa,0.4597494906,195,1.8833333333333333,0.338156837,200,2,0.4669907040454545,205.6818181818182,1.8295454545454546,2,200,0.338156837,1.4023604281611717,0.15915507752443822,2,0.4463855653223913
Rufous-winged Sparrow,5790,0.332798461,200,1.75,Passeriformes,Passerellidae,Peucaea,0.49209269541463413,161.58536585365854,1.8841463414634145,0.3358864475,200,1.8125,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,200,0.332798461,1.3948661502105384,0.15915507752443822,1.75,0.3885000529777026
Saltmarsh Sparrow,5490,0.457471505,125,1.25,Passeriformes,Passerellidae,Ammospiza,0.49209269541463413,161.58536585365854,1.8841463414634145,0.54803626175,125,1.625,0.31361236473835125,159.56989247311827,1.793010752688172,1.25,125,0.457471505,1.5800737212984062,0.407436998462562,1.25,0.8047256179442417
Smith's Longspur,5370,0.479198426,200,1.5,Passeriformes,Calcariidae,Calcarius,0.4782348028,200,1.6,0.4786790906666667,200,1.5833333333333333,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,200,0.479198426,1.6147795180121087,0.15915507752443822,1.5,0.38550053906113824
Sooty Grouse,2971,0.516304491,200,2,Galliformes,Phasianidae,Dendragapus,0.4597494906,195,1.8833333333333333,0.516304491,200,2,0.4669907040454545,205.6818181818182,1.8295454545454546,2,200,0.516304491,1.6758231727923993,0.15915507752443822,2,0.5334315339660487
Spotted Owl,3690,2.740272194,200,2,Strigiformes,Strigidae,Strix,1.5650317498,181.66666666666666,1.9666666666666666,1.92480451,200,2,1.5697160733125,182.8125,1.96875,2,200,2.740272194,15.491201134525369,0.15915507752443822,2,4.931006635024101
Spruce Grouse,2980,0.516304491,50,2,Galliformes,Phasianidae,Canachites,0.4597494906,195,1.8833333333333333,0.516304491,50,2,0.4669907040454545,205.6818181818182,1.8295454545454546,2,50,0.516304491,1.6758231727923993,2.5464812403910115,2,8.53490454345678
Sulphur-bellied Flycatcher,4510,0.309093639,200,1.75,Passeriformes,Tyrannidae,Myiodynastes,0.3035152834285714,167.85714285714286,1.9285714285714286,0.309093639,200,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,200,0.309093639,1.36218991863338,0.15915507752443822,1.75,0.3793990236804316
Swallow-tailed Kite,3270,0.640378832,300,1.25,Accipitriformes,Accipitridae,Elanoides,0.43029992788235294,269.11764705882354,1.6911764705882353,0.640378832,300,1.25,0.43415746855555554,270.8333333333333,1.6666666666666667,1.25,300,0.640378832,1.8971994630520854,0.07073559001086145,1.25,0.1677494042340985
Thick-billed Kingbird,4451,0.287611169,200,2,Passeriformes,Tyrannidae,Tyrannus,0.3035152834285714,167.85714285714286,1.9285714285714286,0.328694848,189.28571428571428,1.9285714285714286,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.287611169,1.3332387987490792,0.15915507752443822,2,0.4243834487469972
Tricolored Blackbird,5000,0.294323111,200,1,Passeriformes,Icteridae,Agelaius,0.2590635304,162.5,1.5125,0.2945228725,200,1.125,0.31361236473835125,159.56989247311827,1.793010752688172,1,200,0.294323111,1.3422175188550152,0.15915507752443822,1,0.21362073326802905
Western Scrub-Jay,NA,0.162746284,200,1.25,NA,NA,NA,0.321503194,177.77777777777777,1.6388888888888888,0.321503194,177.77777777777777,1.6388888888888888,0.321503194,177.77777777777777,1.6388888888888888,1.25,200,0.162746284,1.1767380945284927,0.15915507752443822,1.25,0.23410480332580247
Wild Turkey,3100,0.501379602,300,1.75,Galliformes,Phasianidae,Meleagris,0.4597494906,195,1.8833333333333333,0.501379602,300,1.75,0.4669907040454545,205.6818181818182,1.8295454545454546,1.75,300,0.501379602,1.6509974195913935,0.07073559001086145,1.75,0.20437248401711228
Yellow-billed Magpie,4760,0.23569267,300,1.5,Passeriformes,Corvidae,Pica,0.25450411287499997,270.3125,1.359375,0.23579441099999998,300,1.625,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,300,0.23569267,1.2657852366061872,0.07073559001086145,1.5,0.1343040983075648
Yellow-eyed Junco,5700,0.54144219,125,1.5,Passeriformes,Passerellidae,Junco,0.49209269541463413,161.58536585365854,1.8841463414634145,0.5415300795,125,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,125,0.54144219,1.7184834555512685,0.407436998462562,1.5,1.0502606115560704
Zone-tailed Hawk,3400,0.429513809,300,2,Accipitriformes,Accipitridae,Buteo,0.43029992788235294,269.11764705882354,1.6911764705882353,0.40186650542857144,260.7142857142857,1.7142857142857142,0.43415746855555554,270.8333333333333,1.6666666666666667,2,300,0.429513809,1.5365103044359727,0.07073559001086145,2,0.21737192588409376
Abert's Towhee,5920,0.926068294,125,2,Passeriformes,Passerellidae,Melozone,0.49209269541463413,161.58536585365854,1.8841463414634145,0.926735564,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.926068294,2.5245637966457433,0.407436998462562,2,2.0572013914651825
Acadian Flycatcher,4650,0.219216886,125,2,Passeriformes,Tyrannidae,Empidonax,0.3035152834285714,167.85714285714286,1.9285714285714286,0.218500693375,121.875,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.219216886,1.245101292444067,0.407436998462562,2,1.0146006667505345
Acorn Woodpecker,4070,0.261513967,200,1.75,Piciformes,Picidae,Melanerpes,0.30280097036363635,160.22727272727272,1.5909090909090908,0.3141653088333333,200,1.375,0.30280097036363635,160.22727272727272,1.5909090909090908,1.75,200,0.261513967,1.298895083112849,0.15915507752443822,1.75,0.3617700583856399
