cn,TimeAdj.meanlog,TimeAdj.sdlog,Dist2,Pair2,Aou,Dist.Lower,Dist.Upper,Species,edr,edr_sd,EDR_model,use_edr,cue_rate,cue_rate_sd,use_cue_rate
Bohemian Waxwing,0.251637205,0.021000969,125,1.75,6180,105,138,BOWA,55.09180864667264,1.4395779833310698,6,TRUE,0.02689995399729267,0.01668491704160769,TRUE
Boreal Chickadee,0.123606521,0.006154629,80,1.25,7400,56,88,BOCH,44.55816310360669,0.41418581670448873,3,TRUE,0.16842003787461954,0.010980167684795622,TRUE
Boreal Owl,0.805016534,0.006968846,200,2,3710,140,220,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Botteri's Sparrow,0.332798461,0.023386542,200,1.75,5760,140,220,BOSP,36.98508680384547,5.965924829727253,6,TRUE,0.5848813792400788,0.05187958551807903,TRUE
Brewer's Blackbird,0.285067694,0.042310849,200,1.25,5100,140,220,BRBL,69.14247945296427,0.6457119910107139,7,TRUE,0.24158862272163267,0.006323294347480468,TRUE
Brewer's Sparrow,0.554371096,0.03152307,200,2,5620,140,220,BRSP,88.3375320752105,0.22181426618355715,9,TRUE,0.4721241473897748,0.005172870643535221,TRUE
Bridled Titmouse,0.167287607,0.015324212,200,1.75,7340,140,220,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Broad-billed Hummingbird,0.282947489,0.030666539,50,1.5,4410,26,55,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Broad-tailed Hummingbird,0.270066821,0.013827063,80,1.75,4320,56,88,BTHU,41.682269395086635,0.2759885033805176,3,TRUE,0.23567090820540262,0.010289812794912007,TRUE
Broad-winged Hawk,0.923824468,0.001843574,125,2,3430,105,138,BWHA,86.70131403843229,2.7453216446732114,2,TRUE,0.12088399169037231,0.011335156614240033,TRUE
Bronzed Cowbird,0.196381735,0.015392618,125,1.25,4960,105,138,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Brown Creeper,0.327781306,0.007039325,80,2,7260,56,88,BRCR,49.95878766779903,0.6090408108006429,2,TRUE,0.20967683059363737,0.004742903833001161,TRUE
Brown Thrasher,0.141308812,0.007605114,200,1.5,7050,140,220,BRTH,91.18272535121329,1.0989595312726976,6,TRUE,0.19235919158838186,0.008146871168923486,TRUE
Brown-crested Flycatcher,0.236362278,0.026662981999999998,200,2,4530,140,220,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Brown-headed Cowbird,0.196359385,0.015316476,125,1.75,4950,105,138,BHCO,70.57743294173395,0.27808032331657273,9,TRUE,0.1668345222269024,0.0029207289854177587,TRUE
Brown-headed Nuthatch,0.193256417,0.011315643,125,1.5,7290,105,138,BHNU,37.00932452553881,0.8431660229036098,9,TRUE,0.16861439533447475,0.011375260848646956,TRUE
Buff-bellied Hummingbird,0.282947489,0.030666539,50,2,4390,26,55,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Bullock's Oriole,0.171626668,0.013381537,125,1.75,5080,105,138,BUOR,65.96071811780246,1.2255775323995692,8,TRUE,0.1917667496519335,0.011582415524799411,TRUE
Burrowing Owl,0.248559878,0.013839293,200,1.75,3780,140,220,BUOW,240.9983429464582,11.147215851579972,1,TRUE,0.20992689778289997,0.028391955479107056,TRUE
Bushtit,0.180014259,0.016575529,125,1.5,7430,105,138,BUSH,31.543695024497815,0.4090769010414945,2,TRUE,0.2786045795566645,0.009741928132910416,TRUE
Cactus Wren,0.38994346,0.015947778,200,1.5,7130,140,220,CACW,130.75641413785098,10.289979323002171,3,TRUE,0.6986236387532769,0.022936817603189885,TRUE
California Condor,1.083808476,0.036296279,400,1.5,3240,320,440,NA,NA,NA,NA,FALSE,NA,NA,FALSE
California Gnatcatcher,0.507418109,0.013481356,80,1.75,7530,56,88,NA,NA,NA,NA,FALSE,NA,NA,FALSE
California Quail,0.386160727,0.019277203,200,1.5,2940,140,220,CAQU,90.45233404531078,1.5355444121479422,3,TRUE,0.2469968465685628,0.009634602929007419,TRUE
California Thrasher,0.151208587,0.03780064,200,1.75,7100,140,220,CATH,220.20168596864494,31.644656075352316,Roadside,TRUE,NA,NA,FALSE
California Towhee,0.953116186,0.024293546,125,2,5911,105,138,CALT,69.83801594807215,1.5390179869734766,4,TRUE,0.2888713523966066,0.019525933266777762,TRUE
Calliope Hummingbird,0.222786696,0.005361244,50,2,4360,26,55,CAHU,26.980386800705414,1.655304159608523,3,TRUE,0.05754559485523319,NA,TRUE
Canada Warbler,0.144498738,0.005886014,100,2,6860,84,110,CAWA,61.24619435880685,1.030216564523748,1,TRUE,0.28766964970293757,0.0056291989275888965,TRUE
